text,true_label,predicted
"[Entity_A], libre gamot? Libre pahospital? Tapos no income tax? WEHHH",Negative,Negative
"[Entity_A], [Entity_B] meet in Davao",Neutral,Positive
Parang si [Entity_A] nalang ang candidate for President na walang TV campaign advertisement.,Positive,Negative
[Entity_A]: More poor Filipinos under Aquino administration |,Neutral,Negative
Sisihin si nognog [Entity_A] hahaha ????????????????????,Negative,Negative
[Entity_A] : [Entity_B] is for democracy and for clean and transparent governance Switch to [Entity_A] and [Entity_C] na!,Positive,Positive
Dapat si [Entity_A] yung pinaka kulelat jan eh ?? Pero wala malakas ang dayaan! ??,Negative,Neutral
E ayoko kay [Entity_A] .,Negative,Negative
"I know AlDub doesnt what to go into politics, but me as a Filipino voter, i really dont like [Entity_A]. He is so corrupt!",Negative,Negative
"[Entity_A] on [Entity_B] possible support for ""Next question please.",Neutral,Positive
"RT Natapos na PBB, pandak at nognog pa din sa [Entity_A]",Negative,Negative
"yeah right. And pls Lang, it was that party who was really for [Entity_A]. You have always been pro-[Entity_B]. Kadiri.",Negative,Negative
"Dismissed [Entity_A], sinampahan ng bagong plunder complaint sa Office of the Ombudsman [Neutral8-NeutralPositive-Positive0Neutral5] [NY-ANeutral86Neutral]",Neutral,Negative
"RT Pag naririnig ko yung hotline bling, si [Entity_A] nasa isip ko hahahaha. ??",Neutral,Positive
[Entity_A] - Marginalized Sector,Neutral,Neutral
Sana may debate ng mga kandidato. Go [Entity_A] tandem,Positive,Positive
"""Hindi ko kayo nanakawan"" -[Entity_A] my reaction: bakit kaya mo bang akyatin lahat nang bahay nang Pinoy?",Negative,Negative
"HAY BUHAY NGA NAMAN!! SBI NI [Entity_A] E ""MAY BAGONG UMAGANG PARATING!"", YUNG KAY [Enityt_B] ""PARATING NA PARATING NA!"" BUHAY NGA NAMN???????????",Negative,Positive
"Isyu ngayon mga dilaw Bigas ind bala , ang kurakot na si [Entity_A], ang Amerikanang [Entity_B].. wag ilihis ang isyu sa napakatagal na ..
terte",Negative,Neutral.
Wag ka lang talaga mandaya [Entity_A]! Kaloka ka.,Negative,Negative
"Any reason why [Entity_A], [Entity_B], [Entity_C], and [Entity_D] did not attend the debate at Lasalle?",Neutral,Neutral
"Why choose [Entity_A], [Entity_B], [Entity_C] over [Entity_D] Damn.",Negative,Negative
"[Entity_A] to give benefits, scrap income tax for the poor via",Neutral,Negative
"BAKIT INITSAPUWERA DIN NI [Entity_A] SI [Entity_A]: Sabi din ng tumawag sa akin, ganoon din ang galit sa dibdib ni (see )",Negative,Negative
ayaw niyo si [Entity_A]....... so payag kayo kay [Entity_B] na kumakain ng kanin sa baso? wtf,Negative,Negative
"Pangatlo na lang si [Entity_A], sana mamaya pang-apat na lang. ??",Negative,Negative
JUSKO PO [Entity_A] ?? DINAMAY PA YUNG KAMATAYAN NG MOMMY NIYA PARA LANG IBOTO SIYA ??,Negative,Negative
PANDAK PALA SI [Entity_A]? WOW,Negative,Neutral
RT the [Entity_A] thing was all funny then pero nakakatakot na marami talagang boboto sa kanya,Negative,Neutral
"si [Entity_A] si [Entity_B] at si [Entity_A] pa daw ang nangibabaw, tangina hahahahahaha patawa",Negative,Negative
Hintayin ko nalang si [Entity_A],Neutral,Negative
"King ina yung bagong ads ni [Entity_A]. Pinatamaan lahat ng kalaban niya e. Yung ""hindi ako magbibigay ng hugot."" [Entity_B] OH! LOL.",Negative,Negative
[Entity_A] is my VP too! I havent decided yet but [Entity_B] and [Entity_C] are definitely up there. [Entity_D] second. AnyNeutral but [Entity_E]??,Neutral,Positive
pakyu ka [Entity_A] puro black propaganda nalg nilalabas mo! Lumaban kayo nang patas mga hunghang!!!!,Negative,Negative
Sige [Entity_A] mang daya kapa ng masampal ka ng tsinelas ng mga butante,Negative,Negative
sabihin mo ke [Entity_A] be,Neutral,Negative
"MY PRAYERS: UMANGAT SI [Entity_A], DI MAKAHABOL SI, BUMABA KAHIT NeutralNegativeTH PLACE SI [Entity_A], CONSISTENT ANG RATING NI CANDIDATE. GODBLESS ??",Neutral,Positive
Part ka naman ng Administrasyon [Entity_A]. Wag kang ipokrito.,Negative,Negative
But still [Entity_A] got the highest distrust and disapproval ratings.,Negative,Negative
"[Entity_A] talaga, Bicolano pa sinuyo.",Negative,Positive
paawa effect ads na nya [Entity_A] po kaasar,Negative,Negative
"[Entity_A] using the current status of our stock market PSE, and we will fail if [Entity_B] wins the Presidency, WALA KA MALOLOKO DITO",Negative,Negative
"[Entity_A] is Positivend, [Entity_B] is Negativerd &gt; Between Jan. Neutral and Nov. Negative0 last year, [Entity_C] already shelled out P595,7NeutralNegative,000 for TV ads.",Neutral,Positive
Parang mas nilalait pa tayo ni [Entity_A] sa commercial niya eh ??,Negative,Negative
may vote buying na nga si [Entity_A] eh,Negative,Negative
"[Entity_A] latest stunt: if [Entity_B] wins, do not blame me, blame [Entity_C] for not cooperating. ???? What a loser!",Negative,Negative
Puro paawa si [Entity_A] at [Entity_B] ????,Negative,Negative
[Entity_A] will only be like [Entity_B]. [Entity_C] reminds me of former pres GMA. [Entity_D] is just another TraPo. We need a big CHANGE!,Negative,Negative
[Entity_A] - sumbungero,Negative,Negative
"If [Entity_A] and [Entity_B] runs for the same post in Positive0Neutral6, wala na. Mahahati boto. For sure si [Entity_C] mananalo. Tandem na!",Negative,Negative
"EVERYONE is convinced that [Entity_A] will cheat in these elections. So he may as well withdraw - coz win or lose, he'll be seen as a cheater",Negative,Negative
I cringe everytime [Entity_A] claims Makati while 6 years siyang nasa posisyon.,Negative,Negative
"Si [Entity_A] kay? [Entity_B], PANDAK, LAKI SA HIRA ??????",Negative,Negative
NO TO [Entity_A] Positive0Neutral6,Negative,Negative
Nakakabwiset yung Ad ni [Entity_A] pucha,Negative,Negative
Bias ka ba [Entity_A]? Hahaha walang [Entity_B] eh.,Negative,Negative
"NOGNOG, PANDAK, LAKI SA HIRAP. YAN SI [Entity_A]! LEADER SA SUKARAP :D",Negative,Negative
"Salgado on [Entity_A] being the top spender in political ads: Hindi lang pala selective justice, selective data rin ang nangyari dito",Negative,Negative
Oo na si [Entity_A] na,Negative,Negative
Malakas daw online presence ng mga supprters ni [Entity_A] ? WHAT. THE. FUCK?! [Entity_B] and [Entity_C] all over my feed.,Negative,Negative
"Follow mo ko dito sa account na toh, kasi nga dahil kay [Entity_A] hahaha",Neutral,Positive
RT Bakit nakakairita commercial ni [Entity_A]?,Negative,Negative
[Entity_A]: Ako ay kumandidato dahil alam kong ako ay mananalo,Neutral,Positive
Tanga nalang yung boboto kah [Entity_A] pota -.-,Negative,Negative
"Grabe si [Entity_A] oh, makadeny sa accusations wagas!milyones ang deposit from dummies acct!!tsek tsek",Negative,Negative
"""Pero di tulad ng iba, maraming nagawa. Yan si [Entity_A]."" AHAHAHAHAHAHAHAAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA.",Negative,Negative
tanga. Si [Entity_A]???,Negative,Negative
Kairita lang ang commercial ad ni [Entity_A] at [Entity_B].,Negative,Neutral
Well. [Entity_A] better be ready for the coming black propaganda from [Entity_B] and [Entity_C].,Negative,Negative
[Entity_A] not part of endorsement for [Entity_B],Neutral,Neutral
Mga [Entity_A] join force na sa mga commercial nila. . . Hmpf katakot,Negative,Neutral
"News5 Everywhere - [Entity_A], BINATIKOS, TINAWAG NA 'CREDIT GRABBER' NG NETIZENS via",Negative,Negative
Ang presidente ko ay si [Entity_A],Positive,Negative
Kinakabahan ako kay [Entity_A] juskooo,Negative,Positive
[Entity_A]: There can be no peace without development and there can be no development and progress without peace.,Neutral,Neutral
"Nag suot lang ako ng pulang damit, Kitkat na? -[Entity_A]",Negative,Neutral
iboboto ko si [Entity_A] kasi religious meaning ng first name nya. hindi siya mangungurakot kasi religious sya hahahaha TANGINA. :),Negative,Negative
[Entity_A] po.,Neutral,Positive
HAHAHAHAHAHAHA [Entity_A] PALA TONG SI YERI EH HAHAHAHAHA BASTOS,Negative,Negative
Can [Entity_A] not sound like [Entity_B]? It's very frustrating.,Negative,Negative
Uh oh. Not good. - EXCLUSIVE: [Entity_A] huling huli na nangsuhol ng 500 pesos sa mga tao!,Negative,Negative
"KAMANGMANGAN, NANDITO RIN SI NOGNOG MANGMANG [Entity_A] HE HE HE",Negative,Negative
"totally lost it when he supported [Entity_A]. I guess when he has nothing more to lose, he can say anything he wants.",Negative,Negative
"[Entity_A] kung sinungaling si [Entity_B]: Pag di naman totoo, automatic ang reaction mo talaga. Itatanggi mo.",Negative,Negative
muka kang yagba ni [Entity_A],Negative,Negative
[Entity_A] for .______,Neutral,Positive
NA UNA NA ANG DALAWA SA AYAW KO MAGING [Entity_A] AT [Entity_B],Negative,Negative
Nagwawala na po itong katabi ko porket lamang lang si [Entity_A] ayyyy kaya pang habulin ni [Entity_B] yann!!!!,Neutral,Negative
"Really? [Entity_A] is friends with [Entity_B] and [Entity_C], who are both shady. They are birds of the same corrupt feather.",Negative,Negative
the [Entity_A] have stolen billions no arrest warrant yet - libel moves fast. for INC. for [Entity_A].,Negative,Negative
Dba nasa ganyang posisyon ka naman [Entity_A]?Ba't hindi mo yun ginawa?Kailangan pa bang maging Presidente ka bago mo ipaglaban ang West Philippine Sea?,Negative,Negative.
[Entity_A] on tiff with Tacloban Mayor: that meeting was taken out of context,Neutral,Neutral
What if si [Entity_A] si plankton HAHAHAHAHAHAHAHHAHAHA,Neutral,Negative
RT Thank you [Entity_A] at [Entity_B] for the messed up MRT/transport system and terrible traffic,Negative,Negative
"Calling all the NPA, MILF at iba pang rebeldeng grupo hanapin niyo si [Entity_A] . Huliin niyo na lang siya thank you!",Negative,Negative
OFW binoto si [Entity_A] pero lumabas sa resibo ay Hillary Clinton. Charot!,Neutral,Negative
Dami nang nabayaran ni [Entity_A]. may pera pa kaya siya? Hahahaha ??,Negative,Negative
"RT [Entity_A] is the father of the MRT mess, so corrupt, replaced Sumitomo with a fly-by-night MRT maintenance operator!",Negative,Negative
"Di pa daw to ma-consider nga nag-concede na si [Entity_A]. As per the news, si [Entity_A] ug [Entity_B] pa lang daw.",Neutral,Negative
Hindi ako taga-Makati pero mukhang mas kupal pa 'to sa mga [Entity_A]. Nako po. Ingat lang sa buwis ng mga taga Makati ??,Negative,Negative
"Pagdinig ng senado kaugnay ng mga umano'y katiwalian ni [Entity_A], pormal nang tinapos",Neutral,Neutral
"""Hindi ko function iyan."" ([Entity_A], Positive0Neutral5) ""Kailangan pa bang sagutin iyan?"" ([Entity_B], Positive0Neutral5)",Neutral,Negative
"If not [Entity_A], [Entity_B] please",Positive,Negative
RT Bakit niyo kasi kinu-quote si [Entity_A]? Nagmukha tuloy siyang manhid.,Negative,Negative
Kung di man manalo si [Entity_A] sana si [Entity_B] na lang o kaya si [Entity_C]. Mas kampante pa ko dun,Positive,Neutral
Witness: Bidding for Makati projects under [Entity_A] a sham |,Negative,Negative
baka si [Entity_A] yung ex mo ??,Negative,Negative
"[Entity_A]: ""I am a man of proven accountability and transparency."" Me: *insert Y DA FUK U LYIN, Y U ALWAYS LYIN meme*",Negative,Negative.
"*Sandro and Baste are fighting * Sandro: ""If you can't handle me at my [Entity_A], then you don't deserve me at my [Entity_A].""",Neutral,Negative
"will not only aim for billions but eventually he will claim r country us ""Pili[Entity_A]""",Negative,Negative
"In the beginning, only [Entity_A]. But the other cases? One never knows. As [Entity_B]'s VP, may proteksyon siya.",Neutral,Positive
"Not directly. Seems in Positive0Neutral4, [Entity_A] used the same remittance agency involved in current money laundering scandal.",Negative,Negative
"Wow, nagtype ako ng assignment jerney lyne ha??? tatanga tanga ka lagi!!! Bobo ka like [Entity_A] HAHAHAHA Bwiset damnnnnnn",Negative,Negative
"Political ad on respect not a response to [Entity_A]'s rape remark, [Entity_B] clarifies",Neutral,Neutral
"Partial UNOFFICIAL count: [Entity_A] NeutralPositive7K, [Entity_B] 9NegativeK, [Entity_C] 78K, [Entity_D] 54K, Santiago Neutral5k",Neutral,Neutral
"Puro pangako, napapako naman: [Entity_A] hits [Entity_B]'s leadership anew",Negative,Negative
Kung manalo man si [Entity_A] Sana unang patayin nya e yung nagdrudrugs na lumaban pa ng konsehal na kilalang kilala ko. Neutral00% manyak??,Negative,Neutral
"""Only [Entity_A] touches my skin""dafuq?????",Negative,Negative
Sanib pwersa naaa! [Entity_A]/[Entity_B]/[Entity_C] vs [Entity_D]. [Entity_D] till the end!,Positive,Negative
"[Entity_A]: We feel we're in a good place. We have a track record in every town, in every place in the country. |",Positive,Positive
AMLC finds billions of pesos in '[Entity_A] dummy' accounts,Neutral,Neutral
"my photo is not as clear as but I definitely read ""[Entity_A]""",Neutral,Positive
"grabe, lage nalang napagttripan si [Entity_A]..??",Negative,Neutral
"DESPERADO NA SINA [Entity_A], [Entity_B] AT ANG KINGINANG ABS-CBN WAHAHAHA",Negative,Neutral
Cara Kendall On PH Positive0Neutral6 Only [Entity_A] Ateneo,Neutral,Positive
RT 6 Reasons Why [Entity_A] could Win the Positive0Neutral6 Presidential Election,Neutral,Positive
khit ganun p man No.Neutral fan prn aq ng KathNiel nding ndi mwwla un.peru sori to [Entity_A].,Negative,Negative
"Maka hugot ka, ha. Lagot ka kay [Entity_A]. ??",Neutral,Negative
"[Entity_A] votes went to [Entity_B]?...See, even the VCMachines rejected him!",Negative,Negative
4 reasons why [Entity_A] will not win the Positive0Neutral6 Philippine presidential elections - Get Real Post,Negative,Positive
Omg ang scary nung video na sumasayaw si [Entity_A] WTF,Negative,Negative
Just look at the combined votes of [Entity_A] tandem as compared to [Entity_B].,Negative,Positive
hayaan mo yan sila mga anak ni [Entity_A]! Hahhahahaha,Negative,Negative
Si [Entity_A] iboboto ni [Entity_B]....,Neutral,Neutral
Abot na abot mo pa ang commercial ni [Entity_A]!! ??????,Negative,Negative
[Entity_A] rejects proposed Neutral4 percent VAT |,Neutral,Negative
Bakit dahil kay [Entity_A]..... nagka-punye punyeta na ang Pilipinas? LECHE. WAG KAMI.,Negative,Negative
