text,real_text,entity_detected,true_label,predicted
Literal na [Entity_A] ang nakita ko,Literal na BINAY ang nakita ko,BINAY,Neutral,Neutral
Bakit dahil kay [Entity_A] nakilala kaming mga [Entity_A]?,Bakit dahil kay BINAY nakilala kaming mga BINAY?,BINAY,Negative,Negative
"I think, [Entity_A] is hungry for power.","I think, MAR ROXAS is hungry for power.",MAR ROXAS,Negative,Negative
I dont know what will happen to our country if our president is [Entity_A],I dont know what will happen to our country if our president is MAR ROXAS,MAR ROXAS,Negative,Negative
Sawang sawa na ko sa commercial ni [Entity_A] ??,Sawang sawa na ko sa commercial ni BINAY ??,BINAY,Negative,Neutral
"why is abscbn making [Entity_A] as the good example for filipinos, the hope of the people... wait, lets talk abt yolanda funds..","why is abscbn making MAR ROXAS as the good example for filipinos, the hope of the people... wait, lets talk abt yolanda funds..",MAR ROXAS,Negative,Neutral
RT kamuka ni Kokey yan si [Entity_A],RT kamuka ni Kokey yan si BINAY,Kokey,Negative,Negative
"Kung ang eleksyon ay isang show, title nito at FacePositiveFace. Si [Entity_A] ang isinusumbong. [Entity_B], [Entity_C] at [Entity_D] ang nagsumbong.Si [Entity_E] ang sawsawero.","Kung ang eleksyon ay isang show, title nito at FacePositiveFace. Si DUTERTE ang isinusumbong. MAR ROXAS, POE at MDS/MIRIAM ang nagsumbong.Si [Entity_E] ang sawsawero.","DUTERTE, MAR ROXAS, POE, MDS/MIRIAM",Negative,Negative
Wag natin kalimutan isupport si [Entity_A],Wag natin kalimutan isupport si GRINGO HONASAN,"GRINGO HONASAN, BINAY",Positive,Positive
"Hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay [Entity_A].","Hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay BINAY.",BINAY,Negative,Negative
putangina mo [Entity_A] wag mo kami idamay sa [Entity_A] na yan,putangina mo BINAY wag mo kami idamay sa BINAY na yan,"BINAY, NOGNOG",Negative,Negative
Panay [Entity_A] commercial aba. Ginawang asal ??,Panay MAR ROXAS commercial aba. Ginawang asal ??,MAR ROXAS,Negative,Negative
Bakit puro kayo Sandro? Pano naman yung anak ni [Entity_A]? Hahahaha cge sakin nalang sya ??,Bakit puro kayo Sandro? Pano naman yung anak ni SANDRO? Hahahaha cge sakin nalang sya ??,Sandro,Negative,Negative
Pati nanay mo [Entity_A] trip mo narin wtf dinamay mo pa ?? hiya ka naman uy ??,Pati nanay mo BINAY trip mo narin wtf dinamay mo pa ?? hiya ka naman uy ??,BINAY,Negative,Negative
"[Entity_A], puro ka hometown mo. Ano'ng nagawa mo sa anim na taon mo sa posisyon mo?","BINAY, puro ka hometown mo. Ano'ng nagawa mo sa anim na taon mo sa posisyon mo?",BINAY,Negative,Negative
"hmmm either [Entity_A] o [Entity_B] lang president ko. Vice ko, either [Entity_C] or [Entity_D].","hmmm either DUTERTE o MIRIAM lang president ko. Vice ko, either [Entity_C] or [Entity_D].","DUTERTE, MIRIAM",Positive,Neutral
mga maala [Entity_A] nga. HAHHAAH.,mga maala MAR ROXAS nga. HAHHAAH.,MAR ROXAS,Neutral,Negative
Sana di nalang paulit ulit yung binabato nila kay [Entity_A] para nakaka move on tayo lahat,Sana di nalang paulit ulit yung binabato nila kay BINAY para nakaka move on tayo lahat,BINAY,Negative,Negative
"Interview pa lang ni [Entity_A] walang isip-isip sa pagsagot, hindi tulad ni [Entity_B]! Haha","Interview pa lang ni DUTERTE walang isip-isip sa pagsagot, hindi tulad ni MAR ROXAS! Haha","DUTERTE, MAR ROXAS",Negative,Negative
"I really hope the voting public bothered to witness this debate. If you're still voting for [Entity_A] or [Entity_B], then idk anymore.","I really hope the voting public bothered to witness this debate. If you're still voting for DUTERTE or BINAY, then idk anymore.","DUTERTE, BINAY",Negative,Negative
The Information against [Entity_A] will be filed after the expiration of his term as Vice President. | via,The Information against BINAY will be filed after the expiration of his term as Vice President. | via,BINAY,Neutral,Neutral
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,BINAY cuts short Ilocos trip to prepare for Positivend presidential debate,BINAY,Neutral,Negative
[Entity_A]! wala na ba? ??????,BINAY! wala na ba? ??????,BINAY,Negative,Negative
Bakit di man lang maitelevised ng ABSCBN yung problema na [Entity_A] yung votes pero sa receipts [Entity_A]. BIAS TLAAGA,Bakit di man lang maitelevised ng ABSCBN yung problema na DUTERTE yung votes pero sa receipts DUTERTE. BIAS TLAAGA,"DUTERTE, ROXAS",Negative,Negative
[Entity_A] to raise issue vs [Entity_B] if admin uses corruption vs [Entity_C] |,ENRILE/ROXAS to raise issue vs BINAY if admin uses corruption vs [Entity_C] |,"ENRILE/ROXAS, BINAY",Neutral,Negative
"What saddens me most is that [Entity_A], [Entity_B] and [Entity_C] placed higher than [Entity_D]. You're really not afraid of a dying country.","What saddens me most is that ROXAS, POE and BINAY placed higher than MDS. You're really not afraid of a dying country.","ROXAS, POE, BINAY, MDS",Negative,Negative
[Entity_A]. yan si [Entity_A] asawa ni binoy ????????,NOGNOG. yan si NOGNOG asawa ni binoy ????????,"NOGNOG, BINAY",Neutral,Neutral
Pagkatapos ng [Entity_A] [Entity_A] naman ngayon. Srsyly [Entity_A] ??,Pagkatapos ng NOGNOG NOGNOG naman ngayon. Srsyly NOGNOG ??,Srsyly NOGNOG,Negative,Neutral
"[Entity_A], dinalaw ang mga naapektuhan ng bagyong Lando sa Isabela | via Bombo Radyo","BINAY, dinalaw ang mga naapektuhan ng bagyong Lando sa Isabela | via Bombo Radyo",BINAY,Neutral,Neutral
RT It will just be [Entity_A] vs [Entity_B] for me. Credibility vs Willpower. Debates will tell.,RT It will just be MIRIAM vs DUTERTE for me. Credibility vs Willpower. Debates will tell.,"MIRIAM, DUTERTE",Neutral,Neutral
tricky pol ads of cagey [Entity_A],tricky pol ads of cagey BINAY,BINAY,Negative,Negative
Presidential bet [Entity_A] now faces allegations on vote buying in Baguio City.,Presidential bet GRACE POE now faces allegations on vote buying in Baguio City.,GRACE POE,Negative,Negative
Gwapo naman lagi ni [Entity_A] eh hahahaha,Gwapo naman lagi ni BINAY eh hahahaha,BINAY,Positive,Positive
Palace to [Entity_A]: Check out [Entity_B]'s numbers,Palace to BINAY: Check out AQUINO's numbers,"BINAY, AQUINO",Neutral,Negative
5M for [Entity_A]. hay. tapos si [Entity_B] Positive.9M.,5M for DU30. hay. tapos si POE Positive.9M.,"DU30, POE",Negative,Positive
"Wala din akong kinakalabang kandidato. I share posts on [Entity_A], [Entity_B], [Entity_C], [Entity_D], and [Entity_E]. Alphabetical ka 'yan para fair. ??","Wala din akong kinakalabang kandidato. I share posts on BINAY, DUTERTE, POE, ROXAS, and [Entity_E]. Alphabetical ka 'yan para fair. ??","BINAY, DUTERTE, POE, ROXAS",Neutral,Neutral
"Mercado owned dummy' firms, alleged [Entity_A] bagman claims","Mercado owned dummy' firms, alleged BINAY bagman claims",BINAY,Neutral,Negative
[Entity_A] should be the Neutral to quit instead of [Entity_B] kasi mas mataas ranking ni [Entity_B] sa 7-eleven GULP surveys,MAR ROXAS should be the Neutral to quit instead of POE kasi mas mataas ranking ni POE sa 7-eleven GULP surveys,"MAR ROXAS, POE",Negative,Negative
"Salgado says reaffirmed indictment days before campaign period,like when it indicted [Entity_A] on day he filed his candidacy","Salgado says reaffirmed indictment days before campaign period,like when it indicted BINAY on day he filed his candidacy",BINAY,Neutral,Negative
Video of [Entity_A] lookalike goes viral. READ HERE:,Video of JEJOMAR BINAY lookalike goes viral. READ HERE:,JEJOMAR BINAY,Neutral,Neutral
"Retweeted TV Patrol [Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa...","Retweeted TV Patrol VP BINAY, iginiit na wala siyang kinalaman sa desisyon ng anak sa...",VP BINAY,Neutral,Negative
[Entity_A]: It's presumptuous for [Entity_B] to think the race is between [Entity_B] and [Entity_C].,POE: It's presumptuous for ROXAS to think the race is between ROXAS and DUTERTE.,"POE, ROXAS, DUTERTE",Negative,Negative
"GOV'Ts MONEY??? EXCUSE ME, [Entity_A]! THAT'S OUR MONEY!! GALING SA DUGO'T PAWIS NG MGA HAMAK NA MANGGAGAWA NA...","GOV'Ts MONEY??? EXCUSE ME, BINAY! THAT'S OUR MONEY!! GALING SA DUGO'T PAWIS NG MGA HAMAK NA MANGGAGAWA NA...",BINAY,Negative,Negative
"I hear our neighbor's sing [Entity_A]’S jingle pero iba yung lyrics. From only [Entity_A] to ""Lonely [Entity_A]."" Huhu wait na-LSS ako","I hear our neighbor's sing VP BINAY’S jingle pero iba yung lyrics. From only VP BINAY to ""Lonely VP BINAY."" Huhu wait na-LSS ako",VP BINAY,Negative,Negative
Jusko po. Kahit tuwid na daan ni [Entity_A] apektado. ??,Jusko po. Kahit tuwid na daan ni MAR ROXAS apektado. ??,MAR ROXAS,Negative,Negative
Bombo Radyo Philippines - [Entity_A]: Hindi ako titigil sa pag-uusig laban sa pamilya [Entity_A],Bombo Radyo Philippines - TRILLANES: Hindi ako titigil sa pag-uusig laban sa pamilya TRILLANES,"TRILLANES, BINAY",Neutral,Neutral
Yan si [Entity_A]! Wahahaha!,Yan si BINAY! Wahahaha!,BINAY,Negative,Negative
"[Entity_A]: I will make you rich, like your hometown. Pwe! Talagang mayaman ang Makati kasi yun ang business capital mg Ph. Tanga.","BINAY: I will make you rich, like your hometown. Pwe! Talagang mayaman ang Makati kasi yun ang business capital mg Ph. Tanga.",BINAY,Negative,Positive
[Entity_A]'s ad is so full of ad misericordiam fallacies hahaha,BINAY's ad is so full of ad misericordiam fallacies hahaha,BINAY,Negative,Negative
"[Entity_A], binati nina [Entity_B] at [Entity_C] sa kanyang 7Negativerd birthday","BINAY, binati nina POE at ROXAS sa kanyang 7Negativerd birthday","BINAY, POE, ROXAS",Neutral,Negative
"PWEDE NA SI [Entity_A], WAG LANG SI [Entity_B], WAG! SHET, WAG! [Entity_B], LABAN PA! VOTE [Entity_A] for PRESIDENT","PWEDE NA SI DU30, WAG LANG SI POE, WAG! SHET, WAG! POE, LABAN PA! VOTE DU30 for PRESIDENT","DU30, POE, MIRIAM",Negative,Positive
manhid mo comelec.maka stresss!!![Entity_A]aran din kayo Ni [Entity_A],manhid mo comelec.maka stresss!!!MAR ROXASaran din kayo Ni MAR ROXAS,MAR ROXAS,Negative,Negative
While [Entity_A]: Siya si Korra! The avatar. Wahaha,While MIRIAM: Siya si Korra! The avatar. Wahaha,Korra,Positive,Neutral
I will not vote [Entity_A].,I will not vote MAR ROXAS.,MAR ROXAS,Negative,Negative
Nag trending si [Entity_A] sa twitter.. Negative puros ??????????????????,Nag trending si BINAY sa twitter.. Negative puros ??????????????????,BINAY,Negative,Negative
I really don't like that [Entity_A] commercial hahahaha,I really don't like that BINAY commercial hahahaha,BINAY,Negative,Negative
"Manawagan kong [Entity_A], [Entity_B], [Entity_C] nga ilibre kog ticket sa EXO Planet. ???? dejokelungs","Manawagan kong MAR ROXAS, GRACE, BINAY nga ilibre kog ticket sa EXO Planet. ???? dejokelungs","MAR ROXAS, GRACE, BINAY",Neutral,Neutral
Good news but why do i have a bad feeling that [Entity_A] will win,Good news but why do i have a bad feeling that BINAY will win,BINAY,Negative,Negative
"Words like decency and honesty coming from [Entity_A]? Oh. Fck you and your poor, filthy little shit","Words like decency and honesty coming from MAR ROXAS? Oh. Fck you and your poor, filthy little shit",MAR ROXAS,Negative,Negative
"salamat sa naging suporta mga ka [Entity_A], di pa tapos ang laban, laban para sa kahirapan","salamat sa naging suporta mga ka VP BINAY, di pa tapos ang laban, laban para sa kahirapan",VP BINAY,Positive,Positive
[Entity_A] po.,MAR ROXAS po.,MAR ROXAS,Neutral,Neutral
Desperate move ni [Entity_A] ????,Desperate move ni MAR ROXAS ????,MAR ROXAS,Negative,Negative
"Grabe talaga si [Entity_A], wala kasing boto kaya ginagamit si [Entity_B]!","Grabe talaga si TRILLANES, wala kasing boto kaya ginagamit si VP BINAY!","TRILLANES, VP BINAY",Negative,Negative
"NGAYON SA - [Entity_A], [Entity_B], [Entity_C] at [Entity_D], inilatag ang mga plataporma sa harap ng mga negosyante. -...","NGAYON SA - SANTIAGO, BINAY, ROXAS at POE, inilatag ang mga plataporma sa harap ng mga negosyante. -...","SANTIAGO, BINAY, ROXAS, POE",Neutral,Neutral
"Dear [Entity_A], Why can't you just accept the fact na ayaw sayo ng mga tao? Stop threatening the voters ???","Dear MAR ROXAS, Why can't you just accept the fact na ayaw sayo ng mga tao? Stop threatening the voters ???",MAR ROXAS,Negative,Negative
"ofcourse, there's no choice but [Entity_A]. pero kung [Entity_B] vs [Entity_C]? i'd pick [Entity_D] any day ??????","ofcourse, there's no choice but SANTIAGO. pero kung BINAY vs ROXAS? i'd pick [Entity_D] any day ??????","SANTIAGO, BINAY, ROXAS",Negative,Negative
"""Mananalo ang karapatdapat"" -[Entity_A] At ang karapatadapat ay si [Entity_B] hahahaha","""Mananalo ang karapatdapat"" -MAR ROXAS At ang karapatadapat ay si DU30 hahahaha","MAR ROXAS, DU30",Positive,Negative
hahahaha same tayo kay [Entity_A]! Nag [Entity_B] ako sa vice! ?? si [Entity_C] at [Entity_D]. ??,hahahaha same tayo kay DUTERTE! Nag LENI ako sa vice! ?? si MOMMY ROXAS at MARCOS. ??,"DUTERTE, LENI, MOMMY ROXAS, MARCOS",Neutral,Positive
"Wag ka na lumaban sa pagka pangulo. Dka mananalo, Si [Entity_A] ang mananaig.","Wag ka na lumaban sa pagka pangulo. Dka mananalo, Si VP BINAY ang mananaig.",VP,Negative,Negative
"Para sakin this labanan is between [Entity_A](Disiplina), [Entity_B](utak) at [Entity_C](Puso).","Para sakin this labanan is between DUTERTE(Disiplina), MDS(utak) at POE(Puso).","DUTERTE, MDS, POE",Positive,Negative
Hakot [Entity_A],Hakot POE,POE,Positive,Neutral
"Honestly, why is [Entity_A] so against of [Entity_B]? Ano motive niya?","Honestly, why is TRILLANES so against of MAYOR DUTERTE? Ano motive niya?","TRILLANES, MAYOR DUTERTE",Negative,Negative
Vote buying from [Entity_A] . First Time namin nakatanggap na galing sa president,Vote buying from MAR ROXAS . First Time namin nakatanggap na galing sa president,MAR ROXAS,Negative,Negative
Desperado move ?? [Entity_A] .,Desperado move ?? MAR ROXAS .,MAR ROXAS,Negative,Negative
Puro lait sa sarili si [Entity_A] :(,Puro lait sa sarili si BINAY :(,BINAY,Negative,Negative
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,BINAY cuts short Ilocos trip to prepare for Positivend presidential debate,BINAY,Neutral,Negative
Ganyan ang president. Hindi takot sa QandA from media. Good job [Entity_A]! GO [Entity_A],Ganyan ang president. Hindi takot sa QandA from media. Good job MAR ROXAS! GO MAR ROXAS,"MAR ROXAS, ROXAS-ROBREDO",Positive,Positive
"Bat kaya napikon si [Entity_A] kay [Entity_B] dahil ba sa parinig ni [Entity_B] na ""Kahit hindi ako [Entity_A] ATLEAST hindi ako MAGNANAKAW""","Bat kaya napikon si BINAY kay MAR ROXAS dahil ba sa parinig ni MAR ROXAS na ""Kahit hindi ako BINAY ATLEAST hindi ako MAGNANAKAW""","BINAY, MAR ROXAS",Negative,Negative
Sana walang dayaang mangyari sa lunes at si [Entity_A] ang manalo wahaha! Pakyu ka [Entity_B] ililipat mo kay [Entity_C] yung mga boto sayo!,Sana walang dayaang mangyari sa lunes at si DUTERTE ang manalo wahaha! Pakyu ka ROXAS ililipat mo kay POE yung mga boto sayo!,"DUTERTE, ROXAS, POE, DILAW",Negative,Negative
KAPAG SI [Entity_A] ANG MANANALO MATUTUWA SI KORING. AT AYOKONG MANGYARI YON. HAHAHAHAHA,KAPAG SI MAR ROXAS ANG MANANALO MATUTUWA SI KORING. AT AYOKONG MANGYARI YON. HAHAHAHAHA,MAR ROXAS,Negative,Negative
Edi iboto si [Entity_A] para walang mapunta kay [Entity_B]. Haha,Edi iboto si MIRIAM para walang mapunta kay ROXAS. Haha,"MIRIAM, ROXAS",Negative,Negative
Bakit dahil kay [Entity_A]? Bakit puro [Entity_A] lagi? ??,Bakit dahil kay BINAY? Bakit puro BINAY lagi? ??,BINAY,Negative,Negative
nye pndak na nog nog parang [Entity_A] lang ahahahha ?,nye pndak na nog nog parang BINAY lang ahahahha ?,BINAY,Negative,Negative
Pag nanalo si [Entity_A] or [Entity_B] mag sisimula ako mag graffiti ng anti-gov shit. lol,Pag nanalo si MAR ROXAS or BINAY mag sisimula ako mag graffiti ng anti-gov shit. lol,"MAR ROXAS, BINAY",Negative,Negative
Wag mo Boto yan. [Entity_A] tandem tayO,Wag mo Boto yan. ROXAS-ROBREDO tandem tayO,ROXAS-ROBREDO,Positive,Neutral
[Entity_A]: I DON'T NEED OFW VOTE via,MAR ROXAS: I DON'T NEED OFW VOTE via,MAR ROXAS,Neutral,Neutral
"Poor [Entity_A]. Pero parang awa niyo na, wag niyong iboto si [Entity_B] :(","Poor GRACE POE. Pero parang awa niyo na, wag niyong iboto si MAR ROXAS :(","GRACE POE, MAR ROXAS",Negative,Negative
"Unlike his rich rivals, [Entity_A] says he hails from the poor","Unlike his rich rivals, BINAY says he hails from the poor",BINAY,Neutral,Negative
Sawsaw nanaman sa APEC issue 'to si [Entity_A].. Tsk tsk!,Sawsaw nanaman sa APEC issue 'to si BINAY.. Tsk tsk!,BINAY,Negative,Negative
Route Security was maintained and rendered during the visit of [Entity_A] and Company.,Route Security was maintained and rendered during the visit of VP BINAY and Company.,VP BINAY,Neutral,Neutral
Nakakairita si [Entity_A]! Tanga kaba?! Tsktsk. Hindi kana nga mayor! Pati tatay mo nakikisali pa. Punyeta!,Nakakairita si BINAY! Tanga kaba?! Tsktsk. Hindi kana nga mayor! Pati tatay mo nakikisali pa. Punyeta!,BINAY,Negative,Negative
Grabe kayo kay [Entity_A] ????,Grabe kayo kay BINAY ????,BINAY,Positive,Neutral
"Dapat dinidisqualify c [Entity_A], puro kadayaan ang alam. Hays","Dapat dinidisqualify c MAR ROXAS, puro kadayaan ang alam. Hays",MAR ROXAS,Negative,Negative
Segway: Anong inarte ng tv ad ni [Entity_A] at [Entity_B]?! Sarap pag untugin.,Segway: Anong inarte ng tv ad ni BINAY at MAR ROXAS?! Sarap pag untugin.,"BINAY, MAR ROXAS",Negative,Neutral
"Talaga 'to si [Entity_A]! Lahat na lang eh. Pati Oplan Tuli, naki-join din! ?? HAHAHAHAHAHAHA! ??","Talaga 'to si KOKEY/BINAY! Lahat na lang eh. Pati Oplan Tuli, naki-join din! ?? HAHAHAHAHAHAHA! ??",KOKEY/BINAY,Negative,Positive
"""But you expect me to jump up on board with you and ride off into your delusional sunset."" (to [Entity_A])","""But you expect me to jump up on board with you and ride off into your delusional sunset."" (to SARA BAREILLES)","SARA BAREILLES, MAR ROXAS",Negative,Negative
[Entity_A] I'm sure in last debate itaob ni [Entity_A] ang mga Nambatikos sa kanya..[Entity_B] [Entity_C] [Entity_D] manginig na kayo....,PRESIDENTE DUTERTE I'm sure in last debate itaob ni PRESIDENTE DUTERTE ang mga Nambatikos sa kanya..MAYOR DIGONG ROXAS BINAY manginig na kayo....,"PRESIDENTE DUTERTE, MAYOR DIGONG, ROXAS, BINAY",Neutral,Negative
[Entity_A] last to arrive. Didn't grant interview but blew kiss to media,SEN GRACE POE last to arrive. Didn't grant interview but blew kiss to media,SEN GRACE POE,Neutral,Negative
"[Entity_A] leads in the latest SWS Presidential survey (Neutral,Positive00 respondents; Feb 5","VICE PRES. JEJOMAR BINAY leads in the latest SWS Presidential survey (Neutral,Positive00 respondents; Feb 5",VICE PRES. JEJOMAR BINAY,Neutral,Negative
Only [Entity_A] WTF??? HAHAHAHA,Only BINAY WTF??? HAHAHAHA,BINAY,Negative,Negative
Idaan niyo din si [Entity_A] kay Karen Davila pls,Idaan niyo din si BINAY kay Karen Davila pls,Karen Davila,Negative,Negative
Ang yaman ni [Entity_A].. Twice ang paid ad in one gap.,Ang yaman ni BINAY.. Twice ang paid ad in one gap.,BINAY,Negative,Negative
Retweet sa mga Badtrip kay [Entity_A] ????,Retweet sa mga Badtrip kay MAR ROXAS ????,MAR ROXAS,Negative,Neutral
[Entity_A] political ads are sick.,BINAY political ads are sick.,BINAY,Negative,Negative
Hey [Entity_A] wrong timing ka daw sabi si Delima,Hey BINAY wrong timing ka daw sabi si Delima,BINAY,Negative,Negative
Umalma ang kampo ni [Entity_A] sa pahayag ni [Entity_B] na tila may pagkakapareho ang mga transaksyon ni [Entity_C] sa RCBC...,Umalma ang kampo ni VP BINAY sa pahayag ni CAYETANO na tila may pagkakapareho ang mga transaksyon ni BINAY sa RCBC...,VP,Neutral,Negative
"Shut up, [Entity_A]!","Shut up, MAR ROXAS!",MAR ROXAS,Negative,Negative
"kung nakaliit liit, tangina junior ni [Entity_A] ????????","kung nakaliit liit, tangina junior ni BINAY ????????",BINAY,Negative,Negative
Bakit pag si [Entity_A] pinag-eexplain pero si [Entity_B] pinipigilan agad. Fast talk nga e. Bias tlaga 'tong si Karen??????,Bakit pag si MAR ROXAS pinag-eexplain pero si BINAY pinipigilan agad. Fast talk nga e. Bias tlaga 'tong si Karen??????,"MAR ROXAS, BINAY",Negative,Negative
Senate committee recommends plunder case against [Entity_A] and son | via Eagle News,Senate committee recommends plunder case against VP BINAY and son | via Eagle News,VP BINAY,Neutral,Negative
"Apparently [Entity_A] told Justice Sec. to shut up regarding a certain, controversial case/issue. Lalo nang nagdilim. Naku po.","Apparently BINAY told Justice Sec. to shut up regarding a certain, controversial case/issue. Lalo nang nagdilim. Naku po.",BINAY,Negative,Negative
"Kung si may true blue Filipino, only si [Entity_A] ang may true black Presidentiable inside and out.","Kung si may true blue Filipino, only si BINAY ang may true black Presidentiable inside and out.",BINAY,Negative,Positive
"MUST READ: [Entity_A] Open Letter to [Entity_B], “You’LL Destroy Philippines If You Cheat”","MUST READ: MANNY PACQUIAO Open Letter to MAR ROXAS, “You’LL Destroy Philippines If You Cheat”","MANNY PACQUIAO, MAR ROXAS",Negative,Negative
The road to Malacanang: [Entity_A],The road to Malacanang: MAR ROXAS,MAR ROXAS,Neutral,Neutral
[Entity_A] bucks proposed Neutral4 percent VAT,BINAY bucks proposed Neutral4 percent VAT,BINAY,Neutral,Negative
haha wala akong biometrics. paki boto na lang si [Entity_A] hahah,haha wala akong biometrics. paki boto na lang si MAR ROXAS hahah,MAR ROXAS,Positive,Negative
"Well, [Entity_A]'s rank was quite expected but I can't believe [Entity_B], [Entity_C], and [Entity_D] over [Entity_E]? This is a proof that many ppl has no brains","Well, DUTERTE's rank was quite expected but I can't believe ROXAS, POE, and BINAY over [Entity_E]? This is a proof that many ppl has no brains","DUTERTE, ROXAS, POE, BINAY",Negative,Negative
"Happening now: Welfareville Compound, Mandaluyong. [Entity_A] campaign kick off at 4pm","Happening now: Welfareville Compound, Mandaluyong. BINAY campaign kick off at 4pm",BINAY,Neutral,Neutral
Naiirita ako sa commercial ni [Entity_A] hello po ano,Naiirita ako sa commercial ni BINAY hello po ano,BINAY,Negative,Neutral
"hoy ! happy birthday ! kabirthday niyo pala si [Entity_A] HAHAHA ?? anyways, stay gorgeous ??","hoy ! happy birthday ! kabirthday niyo pala si BINAY HAHAHA ?? anyways, stay gorgeous ??",BINAY,Neutral,Neutral
"KAHIT BIRTHDAY NI [Entity_A] NGAYON, I STILL HATE HIM -_- BABATIKUSIN KO PA DIN MGA TVC NIYA HAHAHA =)))","KAHIT BIRTHDAY NI BINAY NGAYON, I STILL HATE HIM -_- BABATIKUSIN KO PA DIN MGA TVC NIYA HAHAHA =)))",BINAY,Negative,Negative
"[Entity_A] is not a contender, it will come down to [Entity_B] and may be [Entity_C]. but I say PH lets Vote [Entity_C]","POE is not a contender, it will come down to VP BINAY and may be DUTERTE. but I say PH lets Vote DUTERTE","POE, VP BINAY, DUTERTE",Negative,Positive
"Wala palang kinalaman kulay ng balat nya, KULAY LANPALANG NG BUDHI NYA AT BUTO! Kaya, No To [Entity_A]! ??","Wala palang kinalaman kulay ng balat nya, KULAY LANPALANG NG BUDHI NYA AT BUTO! Kaya, No To JEJEMON BINAY! ??",JEJEMON BINAY,Negative,Negative
[Entity_A] is desperate human being,MAR ROXAS is desperate human being,MAR ROXAS,Negative,Negative
Pag si [Entity_A] nanalo kokonti ang mahirap sa Pinas.,Pag si BINAY nanalo kokonti ang mahirap sa Pinas.,BINAY,Positive,Negative
"Kaya pala traffic sa shaw, nagcacampaign yung partylist nila [Entity_A] sa 9 de pebrero","Kaya pala traffic sa shaw, nagcacampaign yung partylist nila BINAY sa 9 de pebrero",BINAY,Negative,Negative
NO TO CORRUPTION! YES TO [Entity_A] tandem,NO TO CORRUPTION! YES TO ROXAS-ROBREDO tandem,ROXAS-ROBREDO,Negative,Positive
"[LOCAL NEWS] [Entity_A]: Poverty, not corruption, moral issue of the time | via SunStar","[LOCAL NEWS] BINAY: Poverty, not corruption, moral issue of the time | via SunStar",BINAY,Positive,Negative
Question: Do [Entity_A]/[Entity_B]/[Entity_C] attack each other? Hindi noh? They all attack [Entity_D]! to bring us back to dark times...,Question: Do GRACE/BINAY/DIGONG attack each other? Hindi noh? They all attack [Entity_D]! to bring us back to dark times...,"GRACE, BINAY, DIGONG",Neutral,Negative
I think [Entity_A] should concede too. ??,I think MAR ROXAS should concede too. ??,MAR ROXAS,Negative,Negative
"""Ayaw na natin ng gobyernong manhid""-[Entity_A]","""Ayaw na natin ng gobyernong manhid""-POE",POE,Negative,Negative
