template_id,template_text,template_sentiment,entity_id,official_name,nickname_used,order_axis,social_axis,temporal_axis,real_text,predicted
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,Nognog,2,3,1,Disappointed ako kay Nognog dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,Nognog,2,3,1,Si Nognog ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,Nognog,2,3,1,Ayaw ko kay Nognog hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,Nognog,2,3,1,Naniniwala ako na si Nognog ay nagsinungaling sa publiko.,Neutral
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Si Nognog ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Nakita ko si Nognog sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Ang Nognog ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Tinawagan ng reporter si Nognog para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Si Nognog ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Ayon sa mga ulat si Nognog ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Ipinakita ng survey na si Nognog ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Naglunsad si Nognog ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Kinausap ng media si Nognog tungkol sa isyu ng krimen.,Negative
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,1,Jejomar Binay,Nognog,2,3,1,Si Nognog ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,Dark Knight,2,3,1,Si Dark Knight ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,Dark Knight,2,3,1,Susuportahan ko si Dark Knight sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,Dark Knight,2,3,1,Ang ginawa ni Dark Knight para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,Dark Knight,2,3,1,Proud akong sabihin na boboto ako kay Dark Knight.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,Dark Knight,2,3,1,Si Dark Knight lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,Dark Knight,2,3,1,Hindi ko iboboto si Dark Knight kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,Dark Knight,2,3,1,Disappointed ako kay Dark Knight dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,Dark Knight,2,3,1,Si Dark Knight ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,Dark Knight,2,3,1,Ayaw ko kay Dark Knight hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,Dark Knight,2,3,1,Naniniwala ako na si Dark Knight ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Si Dark Knight ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Nakita ko si Dark Knight sa balita kagabi.,Positive
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Ang Dark Knight ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Tinawagan ng reporter si Dark Knight para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Si Dark Knight ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Ayon sa mga ulat si Dark Knight ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Ipinakita ng survey na si Dark Knight ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Naglunsad si Dark Knight ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Kinausap ng media si Dark Knight tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,1,Jejomar Binay,Dark Knight,2,3,1,Si Dark Knight ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,2,Mar Roxas,Mar,4,4,5,Si Mar ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,2,Mar Roxas,Mar,4,4,5,Susuportahan ko si Mar sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,2,Mar Roxas,Mar,4,4,5,Ang ginawa ni Mar para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,2,Mar Roxas,Mar,4,4,5,Proud akong sabihin na boboto ako kay Mar.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,2,Mar Roxas,Mar,4,4,5,Si Mar lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,2,Mar Roxas,Mar,4,4,5,Hindi ko iboboto si Mar kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,2,Mar Roxas,Mar,4,4,5,Disappointed ako kay Mar dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,2,Mar Roxas,Mar,4,4,5,Si Mar ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,2,Mar Roxas,Mar,4,4,5,Ayaw ko kay Mar hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,2,Mar Roxas,Mar,4,4,5,Naniniwala ako na si Mar ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,2,Mar Roxas,Mar,4,4,5,Si Mar ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,2,Mar Roxas,Mar,4,4,5,Nakita ko si Mar sa balita kagabi.,Positive
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,2,Mar Roxas,Mar,4,4,5,Ang Mar ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,2,Mar Roxas,Mar,4,4,5,Tinawagan ng reporter si Mar para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,2,Mar Roxas,Mar,4,4,5,Si Mar ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,2,Mar Roxas,Mar,4,4,5,Ayon sa mga ulat si Mar ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,2,Mar Roxas,Mar,4,4,5,Ipinakita ng survey na si Mar ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,2,Mar Roxas,Mar,4,4,5,Naglunsad si Mar ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,2,Mar Roxas,Mar,4,4,5,Kinausap ng media si Mar tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,2,Mar Roxas,Mar,4,4,5,Si Mar ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,2,Mar Roxas,Mr. Palengke,4,4,5,Si Mr. Palengke ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,2,Mar Roxas,Mr. Palengke,4,4,5,Susuportahan ko si Mr. Palengke sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,2,Mar Roxas,Mr. Palengke,4,4,5,Ang ginawa ni Mr. Palengke para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,2,Mar Roxas,Mr. Palengke,4,4,5,Proud akong sabihin na boboto ako kay Mr. Palengke.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,2,Mar Roxas,Mr. Palengke,4,4,5,Si Mr. Palengke lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,2,Mar Roxas,Mr. Palengke,4,4,5,Hindi ko iboboto si Mr. Palengke kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,2,Mar Roxas,Mr. Palengke,4,4,5,Disappointed ako kay Mr. Palengke dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,2,Mar Roxas,Mr. Palengke,4,4,5,Si Mr. Palengke ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,2,Mar Roxas,Mr. Palengke,4,4,5,Ayaw ko kay Mr. Palengke hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,2,Mar Roxas,Mr. Palengke,4,4,5,Naniniwala ako na si Mr. Palengke ay nagsinungaling sa publiko.,Neutral
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Si Mr. Palengke ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Nakita ko si Mr. Palengke sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Ang Mr. Palengke ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Tinawagan ng reporter si Mr. Palengke para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Si Mr. Palengke ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Ayon sa mga ulat si Mr. Palengke ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Ipinakita ng survey na si Mr. Palengke ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Naglunsad si Mr. Palengke ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Kinausap ng media si Mr. Palengke tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,2,Mar Roxas,Mr. Palengke,4,4,5,Si Mr. Palengke ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,3,Grace Poe,Grace,4,4,3,Si Grace ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,3,Grace Poe,Grace,4,4,3,Susuportahan ko si Grace sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,3,Grace Poe,Grace,4,4,3,Ang ginawa ni Grace para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,3,Grace Poe,Grace,4,4,3,Proud akong sabihin na boboto ako kay Grace.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,3,Grace Poe,Grace,4,4,3,Si Grace lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,3,Grace Poe,Grace,4,4,3,Hindi ko iboboto si Grace kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,3,Grace Poe,Grace,4,4,3,Disappointed ako kay Grace dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,3,Grace Poe,Grace,4,4,3,Si Grace ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,3,Grace Poe,Grace,4,4,3,Ayaw ko kay Grace hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,3,Grace Poe,Grace,4,4,3,Naniniwala ako na si Grace ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,3,Grace Poe,Grace,4,4,3,Si Grace ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,3,Grace Poe,Grace,4,4,3,Nakita ko si Grace sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,3,Grace Poe,Grace,4,4,3,Ang Grace ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,3,Grace Poe,Grace,4,4,3,Tinawagan ng reporter si Grace para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,3,Grace Poe,Grace,4,4,3,Si Grace ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,3,Grace Poe,Grace,4,4,3,Ayon sa mga ulat si Grace ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,3,Grace Poe,Grace,4,4,3,Ipinakita ng survey na si Grace ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,3,Grace Poe,Grace,4,4,3,Naglunsad si Grace ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,3,Grace Poe,Grace,4,4,3,Kinausap ng media si Grace tungkol sa isyu ng krimen.,Negative
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,3,Grace Poe,Grace,4,4,3,Si Grace ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,4,Rodrigo Duterte,Digong,1,2,1,Si Digong ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,4,Rodrigo Duterte,Digong,1,2,1,Susuportahan ko si Digong sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,4,Rodrigo Duterte,Digong,1,2,1,Ang ginawa ni Digong para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,4,Rodrigo Duterte,Digong,1,2,1,Proud akong sabihin na boboto ako kay Digong.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,4,Rodrigo Duterte,Digong,1,2,1,Si Digong lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,4,Rodrigo Duterte,Digong,1,2,1,Hindi ko iboboto si Digong kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,4,Rodrigo Duterte,Digong,1,2,1,Disappointed ako kay Digong dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,4,Rodrigo Duterte,Digong,1,2,1,Si Digong ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,4,Rodrigo Duterte,Digong,1,2,1,Ayaw ko kay Digong hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,4,Rodrigo Duterte,Digong,1,2,1,Naniniwala ako na si Digong ay nagsinungaling sa publiko.,Positive
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Si Digong ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Nakita ko si Digong sa balita kagabi.,Positive
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Ang Digong ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Tinawagan ng reporter si Digong para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Si Digong ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Ayon sa mga ulat si Digong ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Ipinakita ng survey na si Digong ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Naglunsad si Digong ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Kinausap ng media si Digong tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,4,Rodrigo Duterte,Digong,1,2,1,Si Digong ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,4,Rodrigo Duterte,Rody,1,2,1,Si Rody ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,4,Rodrigo Duterte,Rody,1,2,1,Susuportahan ko si Rody sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,4,Rodrigo Duterte,Rody,1,2,1,Ang ginawa ni Rody para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,4,Rodrigo Duterte,Rody,1,2,1,Proud akong sabihin na boboto ako kay Rody.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,4,Rodrigo Duterte,Rody,1,2,1,Si Rody lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,4,Rodrigo Duterte,Rody,1,2,1,Hindi ko iboboto si Rody kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,4,Rodrigo Duterte,Rody,1,2,1,Disappointed ako kay Rody dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,4,Rodrigo Duterte,Rody,1,2,1,Si Rody ay isang corrupt na pulitiko.,Negative
