text,true_label,predicted
"Kaya pala traffic sa shaw, nagcacampaign yung partylist nila [Entity_A] sa 9 de pebrero",Negative,Neutral
NO TO CORRUPTION! YES TO [Entity_A] tandem,Negative,Neutral
"[LOCAL NEWS] [Entity_A]: Poverty, not corruption, moral issue of the time | via SunStar",Positive,Neutral
Question: Do [Entity_A]/[Entity_B]/[Entity_C] attack each other? Hindi noh? They all attack [Entity_D]! to bring us back to dark times...,Neutral,Negative
I think [Entity_A] should concede too. ??,Negative,Neutral
"""Ayaw na natin ng gobyernong manhid""-[Entity_A]",Negative,Negative
Wag kayo maniwala sa No tax policy niyang si [Entity_A].. Chika niya lang yan! di basta basta narereform ang tax ng ganun..,Neutral,Negative
RT [Entity_A] condemns killing,Negative,Negative
"[Entity_A], [Entity_A], [Entity_A], Maraming nagawa... Yan si [Entity_A]. T*ngna [Entity_A] anong KALOKOHAN TO?! ??",Neutral,Negative
pwede pala to gawin pag si [Entity_A] ang iboboto mo,Negative,Neutral
"Madalang na mabanggit si [Entity_A] nowadays a... Relevant pa po ba? Sayang yung limang taon na surveys, na utog in the end.",Neutral,Negative
"Bakit kaya may pagbabantang nagaganap sa mga commercial ni [Entity_A], na pag hindi natuloy ang Daang Matuwid keme keme?",Negative,Negative
"RT Sec. Edwin Lacierda on [Entity_A]: ""unlike others, he has gone beyond promises, he has fought the bullies and has the",Negative,Positive
Look who's talking. [Entity_A]'s admin did a good job of exposing [Entity_B]'s filthy deeds ??,Positive,Positive
[Entity_A] o [Entity_B] o [Entity_C]?,Negative,Neutral
Napansin nyo ang daming pol ads ni [Entity_A]. Pera dugot pawis ntin yun mga kbbyan,Neutral,Neutral
"Look at the mirror, [Entity_A] on [Entity_B]: Once a plunderer, always a plunderer",Negative,Negative
I'd say I'm about as fucked as [Entity_A] denying his case against the victims of Yolanda,Negative,Negative
Only [Entity_A] commercial. huwaaw kinakalaban si Belo sa tagline,Negative,Negative
Poor [Entity_A] and [Entity_B] couldn't win oscar despite their entertaining campaign.,Negative,Negative
"""Yung commercial ni [Entity_A] na [Entity_A] [Entity_A]... Parang taeng pinabanguhan lang."" -Kuya RJ ???? Actually coz everybody knows. ????",Negative,Neutral
wtf [Entity_A]!,Negative,Neutral
Don't bash DJ because he supporting [Entity_A]. Grow up please,Negative,Negative
"nasa Positivend spot na si [Entity_A] wow -.- [Entity_B] lang [Entity_C], wag ka na. lol",Neutral,Positive
RT [Entity_A] VS [Entity_B] on,Negative,Neutral
Madaya : Voter files complaint after receipt showed [Entity_A] instead of [Entity_B],Neutral,Neutral
[Entity_A] with all the loot.,Negative,Negative
"Tito: Tay, sinong iboboto mong President? Tatay: Baka si [Entity_A] Tito: Ha? Bakit? Porket kasing itim mo gusto mo na? HAHAHAHA! OM!",Negative,Neutral
"Nagpapalitan lang si [Entity_A] at [Entity_B] sa survey, mahihirapan si [Entity_C] na umusad pa. asahan na ang malawakang vote-buying ng mga desperado",Negative,Negative
kahit sino na. Wag lang si [Entity_A]. ??,Negative,Negative
Foreigners should not intervene our political practice like [Entity_A] an american [Entity_B]/[Entity_C] lang,Negative,Negative
"[Entity_A]. [Entity_A]. [Entity_A]. Pero 'di tulad ng iba, umiiwas sa pagsagot sa alegasyon ng milyon-milyong kinulimbat. 'Yan si [Entity_A].",Negative,Negative
Grabe yung lamang ni [Entity_A] kay [Entity_B] ??,Negative,Neutral
putangina bat pinuntahan ni [Entity_A] si dj?,Neutral,Neutral
im still thinking who to vote for. Basta hindi si [Entity_A] :),Negative,Negative
Tama na [Entity_A],Negative,Positive
[Entity_A] [Entity_B] [Entity_C] . LABAN [Entity_D],Negative,Neutral
Only [Entity_A]! Hataw sa Cebu,Positive,Neutral
"[Entity_A], [Entity_B] lead in pre-election survey | via http://t.co/CkO09cogEf",Positive,Neutral
Palasyo sinabing pahayag ng Ombudsman; patama kay [Entity_A] via,Neutral,Neutral
Si [Entity_A] ba ??,Negative,Neutral
Ngayon ko lang napanuod yung advertisement ni [Entity_A]. Parang hindi ko matanggap na [Entity_A] ako.,Neutral,Negative
HAHAHAHAHA wag lang si [Entity_A] plss ?????? [Entity_B] or [Entity_C] tayo ??,Negative,Neutral
Jusko eto nanaman tong commercial ni [Entity_A],Negative,Neutral
tangina sana di manalo si [Entity_A] baka papatay nya ko dahil sa tweet na to,Negative,Negative
[Entity_A] tutol na ipakita sa publiko ang kaniyang medical records |,Negative,Negative
Papa bat si [Entity_A] pa! ??,Neutral,Negative
[Entity_A] is promising that if he be elected our country will progress. Ha? Tingnan mo nga [Entity_A] City isang napag iwanan na ciudad! Bolero!,Negative,Positive
Ang galing galing nila Anne. Panalo! Pak! Nakaka-proud si Kuya Kim. Pero kamukha niya na si [Entity_A] niyan. Joke!,Negative,Positive
"Nakakatakot matulog, baka pagkagising ko si [Entity_A] na nangunguna. Biglang overtake kay [Entity_B] eh. Wag ganun.",Negative,Neutral
"kay [Entity_A] ako eh. Umasa ako kay [Entity_B], buti na lang di ako nagpakalbo. XD",Negative,Positive
[Entity_A] you're corrupt. End of story.,Positive,Negative
"PAG NANALO SI [Entity_A] TANGINA ALAM NA, NAGKADAYAAN NA. NAGKABAYARAN PA.",Negative,Neutral
"[Entity_A], if your really care about the Philippines, STOP doing STUPIDITY, COWARD! LOSER! ( [Entity_A] to [Entity_B] ) pitiful candidate",Negative,Negative
"[Entity_A], you're so stupid. Seriously. Who owns the airport?",Negative,Negative
"since INC announce that they are endorsing [Entity_A], do you still voting for [Entity_B]?",Negative,Negative
Shittt burn si [Entity_A] Kay [Entity_B] ikaw ba naman eh kita mong sunog na sunog na yang si [Entity_C] ee hahahaha,Negative,Negative
"Hay sawang sawa nako sa [Entity_A] news pls? Wala bang [Entity_B], [Entity_C], or [Entity_D]? Umay ??",Negative,Negative
Only [Entity_A] touches my skin who touches yours ? Syempre [Entity_B]... Hahahaha...,Negative,Neutral
Andun si [Entity_A] sa commercial nya eh. Black lang yung bg kaya medyo hindi sya pansin,Negative,Negative
Bakit todo gastos si [Entity_A] at [Entity_B]? Ano meron? Kasi galangit na pera kapalit niyan! Serbisyong Negosyo. MANDARAMBONG. [Entity_C] LANG TAYO,Negative,Negative
RT The [Entity_A] commercial featuring oppressed/marginalized Filipinos being called [Entity_A] is plain stupid and outright rude.,Negative,Negative
Pano nandya si [Entity_B] kung mahigit NeutralM na yung kay [Entity_A]?Tapos pangatlo pa lang si [Entity_B]???Wag kasing agad maniniwala sa mga hakahaka.,Neutral,Negative
"[Entity_A] approves of [Entity_B]'s presidential bid, says he won't endorse [Entity_C]",Negative,Neutral
Teacher man ko bala. So are my parents and my brother. Te pakyu [Entity_A].,Negative,Negative
Happy Birtyday! [Entity_A] hahaha I mean [Entity_A] ????,Negative,Neutral
patawa talaga tong si [Entity_A]. ni hindi ka nga namin naramdaman nung nasa posisyon ka e. hayuuuup,Negative,Neutral
Wag iboto so [Entity_A],Negative,Negative
"[Entity_A] is being desperate and shows how indecent he is. Also, our current President is tolerating such act because he's the one behind...",Positive,Negative
"Si [Entity_A] pa galit sa COA. Tinatiming daw. Ano ba dapat, tago muna yung audit report habang campaign period pa? Bwisit",Neutral,Negative
"yung bagong [Entity_A] ad, paawa effect na naman :((",Negative,Negative
,Neutral,Neutral
"""My good friends here, [Entity_A] and [Entity_B]"" ayan hindi plastic. ????",Negative,Neutral
Na atching ako sa ad ni [Entity_A]. Allergic pala talaga ako sa bullshit.,Negative,Negative
"I have this lingering suspicion debates will be [Entity_A] discussing issues of complexity, [Entity_B] sniping, and [Entity_C]/[Entity_D]/[Entity_E] watching on the telly",Negative,Negative
Mom had dinner with [Entity_A]. Wayuk si mother,Negative,Neutral
"[Entity_A] tandem are bullies, no class whatsoever.",Negative,Negative
Commercial na naman ni [Entity_A],Negative,Neutral
"From a concerned citizen: ""Just to inform lang. Positive0 Millions of Ballots are already program to [Entity_A] and...",Negative,Neutral
"[Entity_A] YAN KA ????????????????????????"" Nakoooo si [Entity_A] po yan! Gago to. Keber ???????? hindi po ako pandak",Negative,Positive
Knowing that [Entity_A] is still breathing disappoints me,Negative,Negative
"Salgado on [Entity_A] being the top spender in political ads: Hindi lang pala selective justice, selective data rin ang nangyari dito",Negative,Neutral
CA dismisses [Entity_A]'s petition against Ombudsman suspension order [Positive-NeutralNeutral-Positive0Neutral5] [NY-ANeutral800],Negative,Negative
"Hay nako, basta tangina kapag nanalo si [Entity_A].",Negative,Negative
Yung babaeng nasa political ad ni [Entity_A] na nabigyan kuno ng relocation at pabahay,Negative,Neutral
Namoka pumapangalawa si [Entity_A],Neutral,Neutral
[Entity_A] Yan si [Entity_A] ??,Negative,Neutral
[Entity_B] tas [Entity_A] 87NeutralNeutral???? tangina [Entity_A]???,Negative,Neutral
"""LIBRE NA LAHAT."" - [Entity_A] GANUN PO KABOBO ANG TINGIN NI [Entity_A] SA ATING LAHAT. AT BOBO ANG MANINIWALA.",Negative,Positive
"Kautusang lumikha ng Office for Transportation, pinare-review ni [Entity_A] I via Allan Francisco",Negative,Neutral
wag niyo na ipakita commercial ni [Entity_A] pls. irita talaga ??,Negative,Negative
"Only [Entity_A] touches my skin, who touches yours? ??",Negative,Neutral
No to [Entity_A] tandem????,Neutral,Neutral
yan si [Entity_A]. XD samoka,Negative,Neutral
[Entity_A] proclaimed datu by Lanao sultanate |,Neutral,Neutral
[Entity_A] too thirsty to win,Negative,Negative
Kamuka ba ni [Entity_A] si kokey?” Hindi. Wag OA dre!,Negative,Negative
bagay Kay [Entity_A] bibitayin yan,Negative,Neutral
"They say when you find that guy who makes you mad and makes you laugh at the same time, he's the one. [Entity_A], ikaw na ata. ??????",Negative,Positive
"Wala akong mapili kayna [Entity_A], Santiago, at [Entity_B]. Basta ako ay ""Kahit sino wag lang si [Entity_C].""",Negative,Neutral
I'll never understand [Entity_A]' publicity stunts,Negative,Negative
Panu kasi si [Entity_A] walang kabuhay-buhay ang speech.,Negative,Negative
"A word to describe [Entity_A], [Entity_B] said: ""Greed.""",Negative,Negative
Yung dummy account na galit na galit kay [Entity_A] ??,Negative,Negative
"If you don't want for [Entity_A] or [Entity_B] to win this Election, then don't vote for [Entity_C]. Vote for [Entity_D] instead.",Neutral,Negative
RT gusto kong lalake kagaya ni [Entity_A] ??,Neutral,Neutral
"GRABE SI [Entity_A], NAGPULA LANG NG SUOT KIT KAT NA KAAGAD! GRABE SIYA OH!",Negative,Negative
Ang Pangulo ko ay si [Entity_A]. Ishare mo to sa Positive5 na tao within Negative0mins at magkakaron ka ng SOBRE. Wag kang tumawa kapitbahay ko meron na.,Neutral,Negative
LABAN [Entity_A]! UNGASAN MO SI [Entity_B]!,Neutral,Negative
hahahahaahavahahahahahahhaha may hawig yung kay [Entity_A],Negative,Neutral
4 govt agencies after investigation w evidence says [Entity_A] is corrupt.,Negative,Negative
"Wow if an anti-[Entity_A] ad is released, much accepted. But if an anti-[Entity_B] ad is released, it is a form of sabotage. Equality, you say? Yuck",Negative,Negative
"Jusko eto tayo. Labanan ng intro si [Entity_A]. Sa second paragraph, wala na connect",Negative,Neutral
"[Entity_A]'s appeal for a dialogue ""anytime and anywhere"" with [Entity_B]...",Negative,Neutral
Jajajhha pera pera tlga Tong si [Entity_A],Negative,Neutral
Moderator Coco Alcuaz said [Entity_A] requested that they present their platforms one by one,Negative,Neutral
The question is not whether [Entity_A] is bad but whether he will be badder,Negative,Negative
SC asked to oust [Entity_A] from Boy Scouts of the Philippines,Neutral,Negative
"[Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa kaso ni [Entity_B]",Neutral,Negative
Hayop na [Entity_A] to pumapangalawa!,Negative,Positive
"Alam na. [Entity_A], Arroyo, Garci unite: [Entity_A] taps Puno as campaign adviser",Neutral,Neutral
"[Entity_A] is More Deserving than [Entity_B] & [Entity_C], No To Sayang [Entity_A] .. MyPresidentIs [Entity_A]",Neutral,Positive
Hay naku [Entity_A],Negative,Neutral
Vote niyo po si Vice President [Entity_A]? full force required love y'all,Negative,Positive
Puneta 'tong si [Entity_A]. Hays.,Negative,Negative
Nog Nog. Pandak. Ulul nyo Yan si [Entity_A],Negative,Negative
"Si [Entity_A] parang pag mamahal ko, wala na kong choice.",Negative,Neutral
Souvenir from Vice President [Entity_A],Neutral,Neutral
"Since I am not a registered voter yet, i requested him to vote [Entity_A]/[Entity_B] for pres and [Entity_C] for VP. boooo [Entity_D].",Negative,Neutral
SC orders CA to resolve the child of [Entity_A]'s suspension - Read:,Neutral,Neutral
Nakakainis yung commercial ni [Entity_A],Neutral,Negative
Yak naman [Entity_A]. Yakkk,Negative,Neutral
"Bakit feeling ko, hindi naman sinasagot ni [Entity_A] ang mga tanong ni Mike? Ako lang ba to o kayo din? Hmmm.",Negative,Neutral
"Lintek to si [Entity_A]. Tatakbo ng presidente, pinagmamalaki parin yung ginawa niya sa makati taon taon nang nakalipas.",Negative,Positive
"Ever since i started voting, i do not like [Entity_A].. I sensed the dishonesty and hypocricy in him even before",Neutral,Negative
"Itinuturong dummy ni [Entity_A], pumalag",Negative,Negative
"[Entity_A], it's either your team failed at research or you purposely got it wrong. But knowing you, it must b the latter",Negative,Negative
"[Entity_C]: ""my friends here, [Entity_D] and [Entity_E]."" Sorry [Entity_A] and [Entity_B] di mo friends",Negative,Negative
"Pag yang resulta naiba pa, at si [Entity_A] ang maging nangunguna, alam na!!",Negative,Positive
NEWS: [Entity_A] to face Enrile grilling when probe reopens | via,Negative,Neutral
naalala ko sabi ng mga taga ARMM...si [Entity_B] ang may plan b-z! Baba daw si [Entity_C].impeach daw si [Entity_A].,Negative,Negative
Si [Entity_A] yung kaklase nating magtetake ng risk para lang may masabi sa recitation dahil masyadong bilib sa sarili kaya 'di na nag-iisip.,Negative,Negative
at ang nakakaimbyerna talaga ay yung pagdedefend niya kay [Entity_A],Negative,Negative
May bago palang advert si [Entity_A]? Hahahaha. hahaha joke,Negative,Negative
Brigada News Update! - 4P's tinuligsa ng kampo ni VP [Entity_A] -,Negative,Neutral
just confirmed. [Entity_A] tarps on the mountain side along Kennon road,Negative,Neutral
"[Entity_A] ad says, sino na ba ang nagbigay ng scholarship... Uhm excuse me po, not you. It's gov funds",Negative,Neutral
VP [Entity_A] reiterates denial of owning hacienda in Batangas | via GMA News,Negative,Neutral
shut up [Entity_A] uy,Negative,Neutral
