Row,Text (Anonymized),Entity_A,Entity_B,Entity_C,Entity_D,R1,R2,R3,Final_Label
29,"Interview pa lang ni [Entity_A] walang isip-isip sa pagsagot, hindi tulad ni [Entity_B]! Haha",DUTERTE,MAR ROXAS,,,Negative,Negative,Negative,Negative
30,"I really hope the voting public bothered to witness this debate. If you're still voting for [Entity_A] or [Entity_B], then idk anymore.",DUTERTE,BINAY,,,Negative,Negative,Negative,Negative
31,The Information against [Entity_A] will be filed after the expiration of his term as Vice President. | via,BINAY,,,,Negative,Neutral,Neutral,Neutral
32,[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,BINAY,,,,Neutral,Neutral,Neutral,Neutral
33,[Entity_A]! wala na ba? ??????,BINAY,,,,Negative,Negative,Negative,Negative
34,Bakit di man lang maitelevised ng ABSCBN yung problema na [Entity_A] yung votes pero sa receipts [Entity_A]. BIAS TLAAGA,DUTERTE,ROXAS,,,Negative,Negative,Negative,Negative
35,[Entity_A] to raise issue vs [Entity_B] if admin uses corruption vs [Entity_C] |,ENRILE/ROXAS,BINAY,,,Neutral,Neutral,Neutral,Neutral
36,"What saddens me most is that [Entity_A], [Entity_B] and [Entity_C] placed higher than [Entity_D]. You're really not afraid of a dying country.",ROXAS,POE,BINAY,MDS,Negative,Negative,Negative,Negative
37,[Entity_A]. yan si [Entity_A] asawa ni binoy ????????,NOGNOG,BINAY,,,Neutral,Neutral,Neutral,Neutral
38,Pagkatapos ng [Entity_A] [Entity_A] naman ngayon. Srsyly [Entity_A] ??,NOGNOG,PANDAK/BINAY,,,Negative,Negative,Negative,Negative
39,"[Entity_A], dinalaw ang mga naapektuhan ng bagyong Lando sa Isabela | via Bombo Radyo",BINAY,,,,Neutral,Neutral,Neutral,Neutral
40,RT It will just be [Entity_A] vs [Entity_B] for me. Credibility vs Willpower. Debates will tell.,MIRIAM,DUTERTE,,,Neutral,Neutral,Neutral,Neutral
41,tricky pol ads of cagey [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
42,Presidential bet [Entity_A] now faces allegations on vote buying in Baguio City.,GRACE POE,,,,Negative,Negative,Negative,Negative
43,Gwapo naman lagi ni [Entity_A] eh hahahaha,BINAY,,,,Positive,Positive,Positive,Positive
44,Palace to [Entity_A]: Check out [Entity_B]'s numbers,BINAY,AQUINO,,,Negative,Neutral,Neutral,Neutral
45,5M for [Entity_A]. hay. tapos si [Entity_B] Positive.9M.,DU30,POE,,,Negative,Negative,Negative,Negative
46,"Wala din akong kinakalabang kandidato. I share posts on [Entity_A], [Entity_B], [Entity_C], [Entity_D], and [Entity_E]. Alphabetical ka 'yan para fair. ??",BINAY,DUTERTE,POE,ROXAS,Neutral,Neutral,Neutral,Neutral
47,"Mercado owned dummy' firms, alleged [Entity_A] bagman claims",BINAY,,,,Neutral,Neutral,Neutral,Neutral
48,[Entity_A] should be the Neutral to quit instead of [Entity_B] kasi mas mataas ranking ni [Entity_B] sa 7-eleven GULP surveys,MAR ROXAS,POE,,,Negative,Negative,Negative,Negative
49,"Salgado says reaffirmed indictment days before campaign period,like when it indicted [Entity_A] on day he filed his candidacy",BINAY,,,,Neutral,Neutral,Neutral,Neutral
50,Video of [Entity_A] lookalike goes viral. READ HERE:,JEJOMAR BINAY,,,,Neutral,Neutral,Neutral,Neutral
51,"Retweeted TV Patrol [Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa...",VP BINAY,,,,Neutral,Neutral,Neutral,Neutral
52,[Entity_A]: It's presumptuous for [Entity_B] to think the race is between [Entity_B] and [Entity_C].,POE,ROXAS,DUTERTE,,Negative,Negative,Negative,Negative
53,"GOV'Ts MONEY??? EXCUSE ME, [Entity_A]! THAT'S OUR MONEY!! GALING SA DUGO'T PAWIS NG MGA HAMAK NA MANGGAGAWA NA...",BINAY,,,,Negative,Negative,Negative,Negative
54,"I hear our neighbor's sing [Entity_A]’S jingle pero iba yung lyrics. From only [Entity_A] to ""Lonely [Entity_A]."" Huhu wait na-LSS ako",VP BINAY,,,,Negative,Negative,Negative,Negative
55,Jusko po. Kahit tuwid na daan ni [Entity_A] apektado. ??,MAR ROXAS,,,,Negative,Negative,Negative,Negative
56,Bombo Radyo Philippines - [Entity_A]: Hindi ako titigil sa pag-uusig laban sa pamilya [Entity_A],TRILLANES,BINAY,,,Neutral,Neutral,Neutral,Neutral
57,Yan si [Entity_A]! Wahahaha!,BINAY,,,,Negative,Negative,Negative,Negative
58,"[Entity_A]: I will make you rich, like your hometown. Pwe! Talagang mayaman ang Makati kasi yun ang business capital mg Ph. Tanga.",BINAY,,,,Negative,Negative,Negative,Negative
59,[Entity_A]'s ad is so full of ad misericordiam fallacies hahaha,BINAY,,,,Negative,Negative,Negative,Negative
60,"[Entity_A], binati nina [Entity_B] at [Entity_C] sa kanyang 7Negativerd birthday",BINAY,POE,ROXAS,,Neutral,Neutral,Neutral,Neutral
61,"PWEDE NA SI [Entity_A], WAG LANG SI [Entity_B], WAG! SHET, WAG! [Entity_B], LABAN PA! VOTE [Entity_A] for PRESIDENT",DU30,POE,MIRIAM,,Negative,Negative,Negative,Negative
62,manhid mo comelec.maka stresss!!![Entity_A]aran din kayo Ni [Entity_A],MAR ROXAS,,,,Negative,Negative,Negative,Negative
63,While [Entity_A]: Siya si Korra! The avatar. Wahaha,MIRIAM,,,,Positive,Positive,Positive,Positive
64,I will not vote [Entity_A].,MAR ROXAS,,,,Negative,Negative,Negative,Negative
65,Nag trending si [Entity_A] sa twitter.. Negative puros ??????????????????,BINAY,,,,Negative,Negative,Negative,Negative
66,I really don't like that [Entity_A] commercial hahahaha,BINAY,,,,Negative,Negative,Negative,Negative
67,"Manawagan kong [Entity_A], [Entity_B], [Entity_C] nga ilibre kog ticket sa EXO Planet. ???? dejokelungs",MAR ROXAS,GRACE,BINAY,,Neutral,Neutral,Neutral,Neutral
68,Good news but why do i have a bad feeling that [Entity_A] will win,BINAY,,,,Negative,Negative,Negative,Negative
69,"Words like decency and honesty coming from [Entity_A]? Oh. Fck you and your poor, filthy little shit",MAR ROXAS,,,,Negative,Negative,Negative,Negative
70,"salamat sa naging suporta mga ka [Entity_A], di pa tapos ang laban, laban para sa kahirapan",VP BINAY,,,,Positive,Positive,Positive,Positive
71,[Entity_A] po.,MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
72,Desperate move ni [Entity_A] ????,MAR ROXAS,,,,Negative,Negative,Negative,Negative
73,"Grabe talaga si [Entity_A], wala kasing boto kaya ginagamit si [Entity_B]!",TRILLANES,VP BINAY,,,Negative,Negative,Negative,Negative
74,"NGAYON SA - [Entity_A], [Entity_B], [Entity_C] at [Entity_D], inilatag ang mga plataporma sa harap ng mga negosyante. -...",SANTIAGO,BINAY,ROXAS,POE,Neutral,Neutral,Neutral,Neutral
75,"Dear [Entity_A], Why can't you just accept the fact na ayaw sayo ng mga tao? Stop threatening the voters ???",MAR ROXAS,,,,Negative,Negative,Negative,Negative
76,"ofcourse, there's no choice but [Entity_A]. pero kung [Entity_B] vs [Entity_C]? i'd pick [Entity_D] any day ??????",SANTIAGO,BINAY,ROXAS,,Positive,Negative,Negative,Negative
77,"""Mananalo ang karapatdapat"" -[Entity_A] At ang karapatadapat ay si [Entity_B] hahahaha",MAR ROXAS,DU30,,,Positive,Positive,Positive,Positive
78,hahahaha same tayo kay [Entity_A]! Nag [Entity_B] ako sa vice! ?? si [Entity_C] at [Entity_D]. ??,DUTERTE,LENI,MOMMY ROXAS,MARCOS,Positive,Neutral,Neutral,Neutral
79,"Wag ka na lumaban sa pagka pangulo. Dka mananalo, Si [Entity_A] ang mananaig.",VP BINAY,,,,Positive,Negative,Negative,Negative
80,"Para sakin this labanan is between [Entity_A](Disiplina), [Entity_B](utak) at [Entity_C](Puso).",DUTERTE,MDS,POE,,Positive,Positive,Positive,Positive
81,Hakot [Entity_A],POE,,,,Positive,Positive,Positive,Positive
82,"Honestly, why is [Entity_A] so against of [Entity_B]? Ano motive niya?",TRILLANES,MAYOR DUTERTE,,,Negative,Negative,Negative,Negative
83,Vote buying from [Entity_A] . First Time namin nakatanggap na galing sa president,MAR ROXAS,,,,Negative,Negative,Negative,Negative
84,Desperado move ?? [Entity_A] .,MAR ROXAS,,,,Negative,Negative,Negative,Negative
85,Puro lait sa sarili si [Entity_A] :(,BINAY,,,,Negative,Negative,Negative,Negative
86,[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,BINAY,,,,Neutral,Neutral,Neutral,Neutral
87,Ganyan ang president. Hindi takot sa QandA from media. Good job [Entity_A]! GO [Entity_A],MAR ROXAS,ROXAS-ROBREDO,,,Positive,Positive,Positive,Positive
88,"Bat kaya napikon si [Entity_A] kay [Entity_B] dahil ba sa parinig ni [Entity_B] na ""Kahit hindi ako [Entity_A] ATLEAST hindi ako MAGNANAKAW""",BINAY,MAR ROXAS,,,Negative,Negative,Negative,Negative
89,Sana walang dayaang mangyari sa lunes at si [Entity_A] ang manalo wahaha! Pakyu ka [Entity_B] ililipat mo kay [Entity_C] yung mga boto sayo!,DUTERTE,ROXAS,POE,DILAW,Negative,Negative,Negative,Negative
90,KAPAG SI [Entity_A] ANG MANANALO MATUTUWA SI KORING. AT AYOKONG MANGYARI YON. HAHAHAHAHA,MAR ROXAS,,,,Negative,Negative,Negative,Negative
91,Edi iboto si [Entity_A] para walang mapunta kay [Entity_B]. Haha,MIRIAM,ROXAS,,,Negative,Negative,Negative,Negative
92,Bakit dahil kay [Entity_A]? Bakit puro [Entity_A] lagi? ??,BINAY,,,,Negative,Negative,Negative,Negative
93,nye pndak na nog nog parang [Entity_A] lang ahahahha ?,BINAY,,,,Negative,Negative,Negative,Negative
94,,,,,,Neutral,Neutral,Neutral,Neutral
95,Pag nanalo si [Entity_A] or [Entity_B] mag sisimula ako mag graffiti ng anti-gov shit. lol,MAR ROXAS,BINAY,,,Negative,Negative,Negative,Negative
96,Wag mo Boto yan. [Entity_A] tandem tayO,ROXAS-ROBREDO,,,,Positive,Positive,Positive,Positive
97,[Entity_A]: I DON'T NEED OFW VOTE via,MAR ROXAS,,,,Negative,Neutral,Neutral,Neutral
98,"Poor [Entity_A]. Pero parang awa niyo na, wag niyong iboto si [Entity_B] :(",GRACE POE,MAR ROXAS,,,Negative,Negative,Negative,Negative
99,"Unlike his rich rivals, [Entity_A] says he hails from the poor",BINAY,,,,Positive,Neutral,Neutral,Neutral
100,Sawsaw nanaman sa APEC issue 'to si [Entity_A].. Tsk tsk!,BINAY,,,,Negative,Negative,Negative,Negative
101,Route Security was maintained and rendered during the visit of [Entity_A] and Company.,VP BINAY,,,,Neutral,Neutral,Neutral,Neutral
102,Nakakairita si [Entity_A]! Tanga kaba?! Tsktsk. Hindi kana nga mayor! Pati tatay mo nakikisali pa. Punyeta!,BINAY,,,,Negative,Negative,Negative,Negative
103,Grabe kayo kay [Entity_A] ????,BINAY,,,,Positive,Neutral,Positive,Positive
104,"Dapat dinidisqualify c [Entity_A], puro kadayaan ang alam. Hays",MAR ROXAS,,,,Negative,Negative,Negative,Negative
105,Segway: Anong inarte ng tv ad ni [Entity_A] at [Entity_B]?! Sarap pag untugin.,BINAY,MAR ROXAS,,,Negative,Negative,Negative,Negative
106,"Talaga 'to si [Entity_A]! Lahat na lang eh. Pati Oplan Tuli, naki-join din! ?? HAHAHAHAHAHAHA! ??",KOKEY/BINAY,,,,Negative,Negative,Negative,Negative
107,"""But you expect me to jump up on board with you and ride off into your delusional sunset."" (to [Entity_A])",SARA BAREILLES,MAR ROXAS,,,Negative,Negative,Negative,Negative
108,[Entity_A] I'm sure in last debate itaob ni [Entity_A] ang mga Nambatikos sa kanya..[Entity_B] [Entity_C] [Entity_D] manginig na kayo....,PRESIDENTE DUTERTE,MAYOR DIGONG,ROXAS,BINAY,Positive,Neutral,Neutral,Neutral
109,[Entity_A] last to arrive. Didn't grant interview but blew kiss to media,SEN GRACE POE,,,,Neutral,Neutral,Neutral,Neutral
110,"[Entity_A] leads in the latest SWS Presidential survey (Neutral,Positive00 respondents; Feb 5",VICE PRES. JEJOMAR BINAY,,,,Neutral,Neutral,Neutral,Neutral
111,Only [Entity_A] WTF??? HAHAHAHA,BINAY,,,,Negative,Negative,Negative,Negative
112,Idaan niyo din si [Entity_A] kay Karen Davila pls,BINAY,,,,Negative,Neutral,Negative,Negative
113,Ang yaman ni [Entity_A].. Twice ang paid ad in one gap.,BINAY,,,,Negative,Neutral,Negative,Negative
114,Retweet sa mga Badtrip kay [Entity_A] ????,MAR ROXAS,,,,Negative,Negative,Negative,Negative
115,[Entity_A] political ads are sick.,BINAY,,,,Negative,Negative,Negative,Negative
116,Hey [Entity_A] wrong timing ka daw sabi si Delima,BINAY,,,,Negative,Neutral,Negative,Negative
117,Umalma ang kampo ni [Entity_A] sa pahayag ni [Entity_B] na tila may pagkakapareho ang mga transaksyon ni [Entity_C] sa RCBC...,VP BINAY,CAYETANO,BINAY,,Neutral,Neutral,Neutral,Neutral
118,"Shut up, [Entity_A]!",MAR ROXAS,,,,Negative,Negative,Negative,Negative
119,"kung nakaliit liit, tangina junior ni [Entity_A] ????????",BINAY,,,,Negative,Negative,Negative,Negative
120,Bakit pag si [Entity_A] pinag-eexplain pero si [Entity_B] pinipigilan agad. Fast talk nga e. Bias tlaga 'tong si Karen??????,MAR ROXAS,BINAY,,,Negative,Negative,Negative,Negative
121,Senate committee recommends plunder case against [Entity_A] and son | via Eagle News,VP BINAY,,,,Neutral,Negative,Neutral,Neutral
122,,,,,,Negative,Negative,Negative,Negative
123,"Apparently [Entity_A] told Justice Sec. to shut up regarding a certain, controversial case/issue. Lalo nang nagdilim. Naku po.",BINAY,,,,Negative,Negative,Negative,Negative
124,"Kung si may true blue Filipino, only si [Entity_A] ang may true black Presidentiable inside and out.",BINAY,,,,Negative,Neutral,Negative,Negative
125,"MUST READ: [Entity_A] Open Letter to [Entity_B], “You’LL Destroy Philippines If You Cheat”",MANNY PACQUIAO,MAR ROXAS,,,Neutral,Negative,Negative,Negative
126,The road to Malacanang: [Entity_A],MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
127,[Entity_A] bucks proposed Neutral4 percent VAT,BINAY,,,,Neutral,Neutral,Neutral,Neutral
128,haha wala akong biometrics. paki boto na lang si [Entity_A] hahah,MAR ROXAS,,,,Positive,Positive,Positive,Positive
129,"Well, [Entity_A]'s rank was quite expected but I can't believe [Entity_B], [Entity_C], and [Entity_D] over [Entity_E]? This is a proof that many ppl has no brains",DUTERTE,ROXAS,POE,BINAY,Negative,Negative,Negative,Negative
130,"Happening now: Welfareville Compound, Mandaluyong. [Entity_A] campaign kick off at 4pm",BINAY,,,,Neutral,Neutral,Neutral,Neutral
131,Naiirita ako sa commercial ni [Entity_A] hello po ano,BINAY,,,,Negative,Negative,Negative,Negative
132,"hoy ! happy birthday ! kabirthday niyo pala si [Entity_A] HAHAHA ?? anyways, stay gorgeous ??",BINAY,,,,Neutral,Neutral,Neutral,Neutral
133,"KAHIT BIRTHDAY NI [Entity_A] NGAYON, I STILL HATE HIM -_- BABATIKUSIN KO PA DIN MGA TVC NIYA HAHAHA =)))",BINAY,,,,Negative,Negative,Negative,Negative
134,"[Entity_A] is not a contender, it will come down to [Entity_B] and may be [Entity_C]. but I say PH lets Vote [Entity_C]",POE,VP BINAY,DUTERTE,,Negative,Negative,Positive,Negative
135,"Wala palang kinalaman kulay ng balat nya, KULAY LANPALANG NG BUDHI NYA AT BUTO! Kaya, No To [Entity_A]! ??",JEJEMON BINAY,,,,Negative,Negative,Negative,Negative
136,[Entity_A] is desperate human being,MAR ROXAS,,,,Negative,Negative,Negative,Negative
137,Pag si [Entity_A] nanalo kokonti ang mahirap sa Pinas.,BINAY,,,,Positive,Positive,Positive,Positive
138,"Kaya pala traffic sa shaw, nagcacampaign yung partylist nila [Entity_A] sa 9 de pebrero",BINAY,,,,Negative,Negative,Negative,Negative
139,NO TO CORRUPTION! YES TO [Entity_A] tandem,ROXAS-ROBREDO,,,,Positive,Positive,Positive,Negative
140,"[LOCAL NEWS] [Entity_A]: Poverty, not corruption, moral issue of the time | via SunStar",BINAY,,,,Neutral,Neutral,Neutral,Positive
141,Question: Do [Entity_A]/[Entity_B]/[Entity_C] attack each other? Hindi noh? They all attack [Entity_D]! to bring us back to dark times...,GRACE,BINAY,DIGONG,,Negative,Negative,Negative,Neutral
142,I think [Entity_A] should concede too. ??,MAR ROXAS,,,,Negative,Negative,Negative,Negative
143,"""Ayaw na natin ng gobyernong manhid""-[Entity_A]",POE,,,,Neutral,Neutral,Neutral,Negative
144,Wag kayo maniwala sa No tax policy niyang si [Entity_A].. Chika niya lang yan! di basta basta narereform ang tax ng ganun..,BINAY,,,,Negative,Negative,Negative,Neutral
145,RT [Entity_A] condemns killing,BINAY,,,,Neutral,Neutral,Neutral,Negative
146,"[Entity_A], [Entity_A], [Entity_A], Maraming nagawa... Yan si [Entity_A]. T*ngna [Entity_A] anong KALOKOHAN TO?! ??",NOGNOG,PANDAK,BINAY,,Negative,Negative,Negative,Neutral
147,pwede pala to gawin pag si [Entity_A] ang iboboto mo,MAR ROXAS,,,,Positive,Neutral,Neutral,Negative
148,"Madalang na mabanggit si [Entity_A] nowadays a... Relevant pa po ba? Sayang yung limang taon na surveys, na utog in the end.",JOJO BINAY,,,,Negative,Negative,Negative,Neutral
149,"Bakit kaya may pagbabantang nagaganap sa mga commercial ni [Entity_A], na pag hindi natuloy ang Daang Matuwid keme keme?",MAR ROXAS,,,,Negative,Negative,Negative,Negative
150,"RT Sec. Edwin Lacierda on [Entity_A]: ""unlike others, he has gone beyond promises, he has fought the bullies and has the",MAR ROXAS,,,,Positive,Positive,Positive,Negative
151,Look who's talking. [Entity_A]'s admin did a good job of exposing [Entity_B]'s filthy deeds ??,AQUINO,BINAY,,,Negative,Negative,Negative,Positive
152,[Entity_A] o [Entity_B] o [Entity_C]?,DUTERTE,MIRIAM,BINAY,,Neutral,Neutral,Neutral,Negative
153,Napansin nyo ang daming pol ads ni [Entity_A]. Pera dugot pawis ntin yun mga kbbyan,BINAY,,,,Negative,Negative,Negative,Neutral
154,"Look at the mirror, [Entity_A] on [Entity_B]: Once a plunderer, always a plunderer",TRILLANES,BINAY,,,Negative,Negative,Negative,Negative
155,I'd say I'm about as fucked as [Entity_A] denying his case against the victims of Yolanda,MAR ROXAS,,,,Negative,Negative,Negative,Negative
156,Only [Entity_A] commercial. huwaaw kinakalaban si Belo sa tagline,BINAY,,,,Negative,Neutral,Negative,Negative
157,Poor [Entity_A] and [Entity_B] couldn't win oscar despite their entertaining campaign.,BINAY,ROXAS,,,Negative,Negative,Negative,Negative
158,"""Yung commercial ni [Entity_A] na [Entity_A] [Entity_A]... Parang taeng pinabanguhan lang."" -Kuya RJ ???? Actually coz everybody knows. ????",BINAY,NOGNOG,PANDAK,,Negative,Negative,Negative,Negative
159,wtf [Entity_A]!,BINAY,,,,Negative,Negative,Negative,Negative
160,Don't bash DJ because he supporting [Entity_A]. Grow up please,MAR ROXAS,,,,Positive,Neutral,Neutral,Negative
161,"nasa Positivend spot na si [Entity_A] wow -.- [Entity_B] lang [Entity_C], wag ka na. lol",MAR ROXAS,LENI ROBREDO,,,Negative,Neutral,Negative,Neutral
162,RT [Entity_A] VS [Entity_B] on,DUTERTE,MAR ROXAS,,,Neutral,Neutral,Neutral,Negative
163,Madaya : Voter files complaint after receipt showed [Entity_A] instead of [Entity_B],ROXAS,DUTERTE,,,Neutral,Negative,Negative,Neutral
164,[Entity_A] with all the loot.,BINAY,,,,Negative,Negative,Negative,Negative
165,"Tito: Tay, sinong iboboto mong President? Tatay: Baka si [Entity_A] Tito: Ha? Bakit? Porket kasing itim mo gusto mo na? HAHAHAHA! OM!",BINAY,,,,Negative,Negative,Negative,Negative
166,"Nagpapalitan lang si [Entity_A] at [Entity_B] sa survey, mahihirapan si [Entity_C] na umusad pa. asahan na ang malawakang vote-buying ng mga desperado",GRACE,BINAY,,,Negative,Negative,Negative,Negative
167,kahit sino na. Wag lang si [Entity_A]. ??,BINAY,,,,Negative,Negative,Negative,Negative
168,Foreigners should not intervene our political practice like [Entity_A] an american [Entity_B]/[Entity_C] lang,GRACE POE,,,,Negative,Negative,Negative,Negative
169,"[Entity_A]. [Entity_A]. [Entity_A]. Pero 'di tulad ng iba, umiiwas sa pagsagot sa alegasyon ng milyon-milyong kinulimbat. 'Yan si [Entity_A].",NOGNOG,PANDAK,LAKI SA HIRAP,BINAY,Negative,Negative,Negative,Negative
170,Grabe yung lamang ni [Entity_A] kay [Entity_B] ??,DU30,POE,,,Neutral,Neutral,Neutral,Negative
171,putangina bat pinuntahan ni [Entity_A] si dj?,MAR ROXAS,,,,Negative,Negative,Negative,Neutral
172,im still thinking who to vote for. Basta hindi si [Entity_A] :),BINAY,,,,Negative,Negative,Negative,Negative
173,Tama na [Entity_A],MAR ROXAS,,,,Negative,Negative,Negative,Negative
174,[Entity_A] [Entity_B] [Entity_C] . LABAN [Entity_D],ROXAS,MIRIAM,MARCOS,LENI,Positive,Neutral,Positive,Negative
175,Only [Entity_A]! Hataw sa Cebu,BINAY,,,,Positive,Positive,Positive,Positive
176,"[Entity_A], [Entity_B] lead in pre-election survey | via http://t.co/CkO09cogEf",POE,BINAY,,,Neutral,Neutral,Neutral,Positive
177,Palasyo sinabing pahayag ng Ombudsman; patama kay [Entity_A] via,VP BINAY,,,,Negative,Negative,Negative,Neutral
178,Si [Entity_A] ba ??,MAR ROXAS,,,,Neutral,Neutral,Neutral,Negative
179,Ngayon ko lang napanuod yung advertisement ni [Entity_A]. Parang hindi ko matanggap na [Entity_A] ako.,BINAY,,,,Negative,Negative,Negative,Neutral
180,HAHAHAHAHA wag lang si [Entity_A] plss ?????? [Entity_B] or [Entity_C] tayo ??,MAR ROXAS,DUTERTE,MIRIAM,,Negative,Negative,Negative,Negative
181,Jusko eto nanaman tong commercial ni [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
182,tangina sana di manalo si [Entity_A] baka papatay nya ko dahil sa tweet na to,MAR ROXAS,,,,Negative,Negative,Negative,Negative
183,[Entity_A] tutol na ipakita sa publiko ang kaniyang medical records |,SENADOR MIRIAM DEFENSOR SANTIAGO,,,,Neutral,Negative,Neutral,Negative
184,Papa bat si [Entity_A] pa! ??,MAR ROXAS,,,,Negative,Negative,Negative,Neutral
185,[Entity_A] is promising that if he be elected our country will progress. Ha? Tingnan mo nga [Entity_A] City isang napag iwanan na ciudad! Bolero!,MAR ROXAS,,,,Negative,Negative,Negative,Negative
186,Ang galing galing nila Anne. Panalo! Pak! Nakaka-proud si Kuya Kim. Pero kamukha niya na si [Entity_A] niyan. Joke!,BINAY,,,,Negative,Neutral,Negative,Negative
187,"Nakakatakot matulog, baka pagkagising ko si [Entity_A] na nangunguna. Biglang overtake kay [Entity_B] eh. Wag ganun.",ROXAS,POE,,,Negative,Negative,Negative,Negative
188,"kay [Entity_A] ako eh. Umasa ako kay [Entity_B], buti na lang di ako nagpakalbo. XD",MIRIAM,DUTERTE,,,Positive,Neutral,Positive,Negative
189,[Entity_A] you're corrupt. End of story.,BINAY,,,,Negative,Negative,Negative,Positive
190,"PAG NANALO SI [Entity_A] TANGINA ALAM NA, NAGKADAYAAN NA. NAGKABAYARAN PA.",MAR ROXAS,,,,Negative,Negative,Negative,Negative
191,"[Entity_A], if your really care about the Philippines, STOP doing STUPIDITY, COWARD! LOSER! ( [Entity_A] to [Entity_B] ) pitiful candidate",MAR ROXAS,,,,Negative,Negative,Negative,Negative
192,"[Entity_A], you're so stupid. Seriously. Who owns the airport?",MAR ROXAS,,,,Negative,Negative,Negative,Negative
