Row,Text (Anonymized),Entity_A,Entity_B,Entity_C,Entity_D,R1,R2,R3,Final_Label
49,"RT Mas kilalanin si [Entity_A] sa ikalawang episode ng ""Kandidato.""",BINAY,,,,Neutral,Neutral,Neutral,Neutral
50,[Entity_A] pointed out that traffic has been a recurring problem in the country even before today,BINAY,,,,Neutral,Neutral,Neutral,Neutral
51,[Entity_A] ads is paawa .. attack sa sarili para maawa ang tao,BINAY,,,,Negative,Negative,Negative,Negative
52,[Entity_A] is much worse than [Entity_B].,NIETO,BINAY,,,Negative,Negative,Negative,Negative
53,"Nf ko ""[Entity_A] , [Entity_B], [Entity_C]"" ??",DUTERTE,TRILLANES,ROXAS,,Neutral,Neutral,Neutral,Neutral
54,dito lang ba may brownout? ito na kaya ang simula ng malawakang dayaan? baka biglang lumamang c [Entity_A]?,MAR ROXAS,,,,Negative,Negative,Negative,Negative
55,May bago na namang tv ad si [Entity_A]. Yung totoo? Nakamagkano ka na... po? ??,BINAY,,,,Negative,Negative,Negative,Negative
56,"WALA TAYONG MAAASAHAN KAY [Entity_A], MAUUBOS LANG PERA NATIN KAKAKURAKOT NIYANG KINGINANG NIYAN",MAR ROXAS,,,,Negative,Negative,Negative,Negative
57,"Bagong pakulo na naman ni [Entity_A], magsama na lang kayo ni [Entity_B]! ??",MAR ROXAS,BINAY,,,Negative,Negative,Negative,Negative
58,sino ngaun nagmukhang tanga at duwag sa ginagawa mo na yan [Entity_A] hahaha lalo lang dadami boboto kay [Entity_B],MAR ROXAS,DUTERTE,,,Negative,Negative,Negative,Negative
59,"My shit list of politicians who should be vanished from the Philippine gov't forever: [Entity_A], [Entity_B], [Entity_C]",BINAY,SOTTO,ENRILE,,Negative,Negative,Negative,Negative
60,sabi ni [Entity_A] mahirap sya tapos yung properties daw nya galing sa mana. Ang labo ng script nya noh!,BINAY,,,,Negative,Negative,Negative,Negative
61,[Entity_A]: It's possible that I will vote in favor of [Entity_B]; I will decide based on evidence submitted | via Joseph_Morong,BINAY,GRACE POE/SENGRACEPOE,,,Neutral,Neutral,Neutral,Neutral
62,Only [Entity_A] winner,BINAY,,,,Positive,Positive,Positive,Positive
63,RT Bakit dahil Kay [Entity_A] Marami pa ring single? Hahahhahaha,BINAY,,,,Negative,Negative,Negative,Negative
64,"[Entity_A], libre gamot? Libre pahospital? Tapos no income tax? WEHHH",BINAY,,,,Negative,Negative,Negative,Negative
65,"[Entity_A], [Entity_B] meet in Davao",BINAY,ESCUDERO,,,Neutral,Neutral,Neutral,Neutral
66,Parang si [Entity_A] nalang ang candidate for President na walang TV campaign advertisement.,SANTIAGO,,,,Positive,Positive,Positive,Positive
67,[Entity_A]: More poor Filipinos under Aquino administration |,BINAY,,,,Neutral,Neutral,Neutral,Neutral
68,Sisihin si nognog [Entity_A] hahaha ????????????????????,BINAY,,,,Negative,Negative,Negative,Negative
69,[Entity_A] : [Entity_B] is for democracy and for clean and transparent governance Switch to [Entity_A] and [Entity_C] na!,BINAY,ROXAS-ROBREDO,LENI,,Positive,Positive,Positive,Positive
70,Dapat si [Entity_A] yung pinaka kulelat jan eh ?? Pero wala malakas ang dayaan! ??,MAR ROXAS,,,,Negative,Negative,Negative,Negative
71,E ayoko kay [Entity_A] .,MAR ROXAS,,,,Negative,Negative,Negative,Negative
72,"I know AlDub doesnt what to go into politics, but me as a Filipino voter, i really dont like [Entity_A]. He is so corrupt!",BINAY,,,,Negative,Negative,Negative,Negative
73,"[Entity_A] on [Entity_B] possible support for ""Next question please.",BINAY,ERAP,,,Neutral,Neutral,Neutral,Neutral
74,"RT Natapos na PBB, pandak at nognog pa din sa [Entity_A]",BINAY,,,,Negative,Negative,Negative,Negative
75,"yeah right. And pls Lang, it was that party who was really for [Entity_A]. You have always been pro-[Entity_B]. Kadiri.",MAR ROXAS,BINAY,,,Negative,Negative,Negative,Negative
76,"Dismissed [Entity_A], sinampahan ng bagong plunder complaint sa Office of the Ombudsman [Neutral8-NeutralPositive-Positive0Neutral5] [NY-ANeutral86Neutral]",BINAY,,,,Neutral,Neutral,Neutral,Neutral
77,"RT Pag naririnig ko yung hotline bling, si [Entity_A] nasa isip ko hahahaha. ??",BINAY,,,,Negative,Neutral,Neutral,Neutral
78,[Entity_A] - Marginalized Sector,BINAY,,,,Neutral,Neutral,Neutral,Neutral
79,Sana may debate ng mga kandidato. Go [Entity_A] tandem,ROXAS-ROBREDO,,,,Positive,Positive,Positive,Positive
80,"""Hindi ko kayo nanakawan"" -[Entity_A] my reaction: bakit kaya mo bang akyatin lahat nang bahay nang Pinoy?",MAR ROXAS,,,,Negative,Negative,Negative,Negative
81,"HAY BUHAY NGA NAMAN!! SBI NI [Entity_A] E ""MAY BAGONG UMAGANG PARATING!"", YUNG KAY [Enityt_B] ""PARATING NA PARATING NA!"" BUHAY NGA NAMN???????????",BINAY,BINAY (Enityt_B typo),,,Negative,Negative,Negative,Negative
82,"Isyu ngayon mga dilaw Bigas ind bala , ang kurakot na si [Entity_A], ang Amerikanang [Entity_B].. wag ilihis ang isyu sa napakatagal na ..
terte",BINAY,POE,,,Negative,Negative,Negative,Negative
83,Wag ka lang talaga mandaya [Entity_A]! Kaloka ka.,MAR ROXAS,,,,Negative,Negative,Negative,Negative
84,"Any reason why [Entity_A], [Entity_B], [Entity_C], and [Entity_D] did not attend the debate at Lasalle?",BINAY,POE,SANTIAGO,ROXAS,Neutral,Neutral,Neutral,Neutral
85,"Why choose [Entity_A], [Entity_B], [Entity_C] over [Entity_D] Damn.",BINAY,POE,SANTIAGO,ROXAS,Negative,Negative,Negative,Negative
86,"[Entity_A] to give benefits, scrap income tax for the poor via",BINAY,,,,Neutral,Neutral,Neutral,Neutral
87,"BAKIT INITSAPUWERA DIN NI [Entity_A] SI [Entity_A]: Sabi din ng tumawag sa akin, ganoon din ang galit sa dibdib ni (see )",ERAP,BINAY,,,Negative,Negative,Negative,Negative
88,ayaw niyo si [Entity_A]....... so payag kayo kay [Entity_B] na kumakain ng kanin sa baso? wtf,DUTERTE,MAR ROXAS,,,Negative,Negative,Negative,Negative
89,"Pangatlo na lang si [Entity_A], sana mamaya pang-apat na lang. ??",ROXAS,,,,Negative,Negative,Negative,Negative
90,JUSKO PO [Entity_A] ?? DINAMAY PA YUNG KAMATAYAN NG MOMMY NIYA PARA LANG IBOTO SIYA ??,BINAY,,,,Negative,Negative,Negative,Negative
91,PANDAK PALA SI [Entity_A]? WOW,BINAY,,,,Negative,Negative,Negative,Negative
92,RT the [Entity_A] thing was all funny then pero nakakatakot na marami talagang boboto sa kanya,BINAY,,,,Negative,Negative,Negative,Negative
93,"si [Entity_A] si [Entity_B] at si [Entity_A] pa daw ang nangibabaw, tangina hahahahahaha patawa",BINAY,ROXAS,POE,,Negative,Negative,Negative,Negative
94,Hintayin ko nalang si [Entity_A],BINAY,,,,Neutral,Neutral,Neutral,Neutral
95,"King ina yung bagong ads ni [Entity_A]. Pinatamaan lahat ng kalaban niya e. Yung ""hindi ako magbibigay ng hugot."" [Entity_B] OH! LOL.",MAR ROXAS,MIRIAM,,,Negative,Negative,Negative,Negative
96,[Entity_A] is my VP too! I havent decided yet but [Entity_B] and [Entity_C] are definitely up there. [Entity_D] second. AnyNeutral but [Entity_E]??,LENI,MIRIAM,DUTERTE,POE,Positive,Neutral,Neutral,Neutral
97,pakyu ka [Entity_A] puro black propaganda nalg nilalabas mo! Lumaban kayo nang patas mga hunghang!!!!,MAR ROXAS,,,,Negative,Negative,Negative,Negative
98,Sige [Entity_A] mang daya kapa ng masampal ka ng tsinelas ng mga butante,MAR ROXAS,,,,Negative,Negative,Negative,Negative
99,sabihin mo ke [Entity_A] be,BINAY,,,,Neutral,Neutral,Neutral,Neutral
100,"MY PRAYERS: UMANGAT SI [Entity_A], DI MAKAHABOL SI, BUMABA KAHIT NeutralNegativeTH PLACE SI [Entity_A], CONSISTENT ANG RATING NI CANDIDATE. GODBLESS ??",CAYETANO,MAR ROXAS,PACQUIAO,,Positive,Neutral,Neutral,Neutral
101,Part ka naman ng Administrasyon [Entity_A]. Wag kang ipokrito.,BINAY,,,,Negative,Negative,Negative,Negative
102,But still [Entity_A] got the highest distrust and disapproval ratings.,BINAY,,,,Negative,Negative,Negative,Negative
103,"[Entity_A] talaga, Bicolano pa sinuyo.",BINAY,,,,Negative,Negative,Negative,Negative
104,paawa effect ads na nya [Entity_A] po kaasar,MAR ROXAS,,,,Negative,Negative,Negative,Negative
105,"[Entity_A] using the current status of our stock market PSE, and we will fail if [Entity_B] wins the Presidency, WALA KA MALOLOKO DITO",MAR ROXAS,DUTERTE,,,Negative,Negative,Negative,Negative
106,"[Entity_A] is Positivend, [Entity_B] is Negativerd &gt; Between Jan. Neutral and Nov. Negative0 last year, [Entity_C] already shelled out P595,7NeutralNegative,000 for TV ads.",POE,MAR ROXAS,BINAY,,Neutral,Neutral,Neutral,Neutral
107,Parang mas nilalait pa tayo ni [Entity_A] sa commercial niya eh ??,BINAY,,,,Negative,Negative,Negative,Negative
108,may vote buying na nga si [Entity_A] eh,BINAY,,,,Negative,Negative,Negative,Negative
109,"[Entity_A] latest stunt: if [Entity_B] wins, do not blame me, blame [Entity_C] for not cooperating. ???? What a loser!",MAR ROXAS,DUTERTE-MARCOS,GRACE POE,,Negative,Negative,Negative,Negative
110,Puro paawa si [Entity_A] at [Entity_B] ????,MAR ROXAS,BINAY,,,Negative,Negative,Negative,Negative
111,[Entity_A] will only be like [Entity_B]. [Entity_C] reminds me of former pres GMA. [Entity_D] is just another TraPo. We need a big CHANGE!,ROXAS,GPOE,PNOY,BINAY,Negative,Negative,Negative,Negative
112,[Entity_A] - sumbungero,ROXAS,,,,Negative,Negative,Negative,Negative
113,"If [Entity_A] and [Entity_B] runs for the same post in Positive0Neutral6, wala na. Mahahati boto. For sure si [Entity_C] mananalo. Tandem na!",DUTERTE,MIRIAM,NOGNOG/BINAY,,Negative,Negative,Negative,Negative
114,"EVERYONE is convinced that [Entity_A] will cheat in these elections. So he may as well withdraw - coz win or lose, he'll be seen as a cheater",MAR ROXAS,,,,Negative,Neutral,Negative,Negative
115,I cringe everytime [Entity_A] claims Makati while 6 years siyang nasa posisyon.,BINAY,,,,Negative,Negative,Negative,Negative
116,"Si [Entity_A] kay? [Entity_B], PANDAK, LAKI SA HIRA ??????",GRACE POE,NOGNOG,,,Negative,Negative,Negative,Negative
117,NO TO [Entity_A] Positive0Neutral6,BINAY,,,,Negative,Negative,Negative,Negative
118,Nakakabwiset yung Ad ni [Entity_A] pucha,BINAY,,,,Negative,Negative,Negative,Negative
119,Bias ka ba [Entity_A]? Hahaha walang [Entity_B] eh.,MARCELO,BINAY,,,Negative,Negative,Negative,Negative
120,"NOGNOG, PANDAK, LAKI SA HIRAP. YAN SI [Entity_A]! LEADER SA SUKARAP :D",BINAY,,,,Negative,Negative,Negative,Negative
121,"Salgado on [Entity_A] being the top spender in political ads: Hindi lang pala selective justice, selective data rin ang nangyari dito",BINAY,,,,Negative,Negative,Negative,Negative
122,Oo na si [Entity_A] na,BINAY,,,,Negative,Negative,Negative,Negative
123,Malakas daw online presence ng mga supprters ni [Entity_A] ? WHAT. THE. FUCK?! [Entity_B] and [Entity_C] all over my feed.,BINAY,MIRIAM,DUTERTE,,Negative,Negative,Negative,Negative
124,"Follow mo ko dito sa account na toh, kasi nga dahil kay [Entity_A] hahaha",BINAY,,,,Positive,Neutral,Neutral,Neutral
125,RT Bakit nakakairita commercial ni [Entity_A]?,MAR ROXAS,,,,Negative,Negative,Negative,Negative
126,[Entity_A]: Ako ay kumandidato dahil alam kong ako ay mananalo,BINAY,,,,Neutral,Neutral,Neutral,Neutral
127,Tanga nalang yung boboto kah [Entity_A] pota -.-,BINAY,,,,Negative,Negative,Negative,Negative
128,"Grabe si [Entity_A] oh, makadeny sa accusations wagas!milyones ang deposit from dummies acct!!tsek tsek",BINAY,,,,Negative,Negative,Negative,Negative
129,"""Pero di tulad ng iba, maraming nagawa. Yan si [Entity_A]."" AHAHAHAHAHAHAHAAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA.",BINAY,,,,Negative,Negative,Negative,Negative
130,tanga. Si [Entity_A]???,MAR ROXAS,BINAY,,,Negative,Negative,Negative,Negative
131,Kairita lang ang commercial ad ni [Entity_A] at [Entity_B].,POE,MAR ROXAS,BINAY,,Negative,Negative,Negative,Negative
132,Well. [Entity_A] better be ready for the coming black propaganda from [Entity_B] and [Entity_C].,ERAP,MAR ROXAS,,,Negative,Negative,Negative,Negative
133,[Entity_A] not part of endorsement for [Entity_B],BINAY,,,,Neutral,Neutral,Neutral,Neutral
134,Mga [Entity_A] join force na sa mga commercial nila. . . Hmpf katakot,MAR ROXAS,,,,Negative,Negative,Negative,Negative
135,"News5 Everywhere - [Entity_A], BINATIKOS, TINAWAG NA 'CREDIT GRABBER' NG NETIZENS via",MAR ROXAS,,,,Negative,Negative,Negative,Negative
136,Ang presidente ko ay si [Entity_A],MAR ROXAS,,,,Positive,Positive,Positive,Positive
137,Kinakabahan ako kay [Entity_A] juskooo,MAR ROXAS,,,,Negative,Negative,Negative,Negative
138,[Entity_A]: There can be no peace without development and there can be no development and progress without peace.,MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
139,"Nag suot lang ako ng pulang damit, Kitkat na? -[Entity_A]",BINAY,,,,Negative,Negative,Negative,Negative
140,iboboto ko si [Entity_A] kasi religious meaning ng first name nya. hindi siya mangungurakot kasi religious sya hahahaha TANGINA. :),BINAY,,,,Negative,Negative,Negative,Negative
141,[Entity_A] po.,MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
142,HAHAHAHAHAHAHA [Entity_A] PALA TONG SI YERI EH HAHAHAHAHA BASTOS,BINAY,,,,Negative,Negative,Negative,Negative
143,Can [Entity_A] not sound like [Entity_B]? It's very frustrating.,GRACE POE,CHIZ ESCUDERO,,,Negative,Negative,Negative,Negative
144,Uh oh. Not good. - EXCLUSIVE: [Entity_A] huling huli na nangsuhol ng 500 pesos sa mga tao!,GRACE POE,,,,Negative,Negative,Negative,Negative
145,"KAMANGMANGAN, NANDITO RIN SI NOGNOG MANGMANG [Entity_A] HE HE HE",BINAY,,,,Negative,Negative,Negative,Negative
146,"totally lost it when he supported [Entity_A]. I guess when he has nothing more to lose, he can say anything he wants.",BINAY,,,,Negative,Negative,Negative,Negative
147,"[Entity_A] kung sinungaling si [Entity_B]: Pag di naman totoo, automatic ang reaction mo talaga. Itatanggi mo.",ESCUDERO,BINAY,,,Negative,Negative,Negative,Negative
148,muka kang yagba ni [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
149,[Entity_A] for .______,BINAY,,,,Neutral,Neutral,Neutral,Neutral
150,NA UNA NA ANG DALAWA SA AYAW KO MAGING [Entity_A] AT [Entity_B],BINAY,ROXAS,,,Negative,Negative,Negative,Negative
151,Nagwawala na po itong katabi ko porket lamang lang si [Entity_A] ayyyy kaya pang habulin ni [Entity_B] yann!!!!,DUTERTE,POE,,,Negative,Neutral,Neutral,Neutral
152,"Really? [Entity_A] is friends with [Entity_B] and [Entity_C], who are both shady. They are birds of the same corrupt feather.",HONASAN,BINAY,ENRILE,,Negative,Negative,Negative,Negative
153,the [Entity_A] have stolen billions no arrest warrant yet - libel moves fast. for INC. for [Entity_A].,BINAY,,,,Negative,Negative,Negative,Negative
154,Dba nasa ganyang posisyon ka naman [Entity_A]?Ba't hindi mo yun ginawa?Kailangan pa bang maging Presidente ka bago mo ipaglaban ang West Philippine Sea?,BINAY,,,,Negative,Negative,Negative,Negative
155,[Entity_A] on tiff with Tacloban Mayor: that meeting was taken out of context,MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
156,What if si [Entity_A] si plankton HAHAHAHAHAHAHAHHAHAHA,BINAY,,,,Negative,Neutral,Neutral,Neutral
157,RT Thank you [Entity_A] at [Entity_B] for the messed up MRT/transport system and terrible traffic,MAR ROXAS,JUN ABAYA,,,Negative,Negative,Negative,Negative
158,"Calling all the NPA, MILF at iba pang rebeldeng grupo hanapin niyo si [Entity_A] . Huliin niyo na lang siya thank you!",MAR ROXAS,,,,Negative,Negative,Negative,Negative
159,OFW binoto si [Entity_A] pero lumabas sa resibo ay Hillary Clinton. Charot!,GRACE POE,,,,Negative,Neutral,Neutral,Neutral
160,Dami nang nabayaran ni [Entity_A]. may pera pa kaya siya? Hahahaha ??,MAR ROXAS,,,,Negative,Negative,Negative,Negative
161,"RT [Entity_A] is the father of the MRT mess, so corrupt, replaced Sumitomo with a fly-by-night MRT maintenance operator!",MAR ROXAS,,,,Negative,Negative,Negative,Negative
162,"Di pa daw to ma-consider nga nag-concede na si [Entity_A]. As per the news, si [Entity_A] ug [Entity_B] pa lang daw.",BINAY,POE/ROXAS,,,Neutral,Neutral,Neutral,Neutral
163,Hindi ako taga-Makati pero mukhang mas kupal pa 'to sa mga [Entity_A]. Nako po. Ingat lang sa buwis ng mga taga Makati ??,BINAY,,,,Negative,Negative,Negative,Negative
164,"Pagdinig ng senado kaugnay ng mga umano'y katiwalian ni [Entity_A], pormal nang tinapos",BINAY,,,,Neutral,Neutral,Neutral,Neutral
165,"""Hindi ko function iyan."" ([Entity_A], Positive0Neutral5) ""Kailangan pa bang sagutin iyan?"" ([Entity_B], Positive0Neutral5)",BINAY,MORENO,,,Negative,Neutral,Neutral,Neutral
166,"If not [Entity_A], [Entity_B] please",DUTERTE,POE,,,Positive,Positive,Positive,Positive
167,RT Bakit niyo kasi kinu-quote si [Entity_A]? Nagmukha tuloy siyang manhid.,MAR ROXAS,,,,Negative,Negative,Negative,Negative
168,Kung di man manalo si [Entity_A] sana si [Entity_B] na lang o kaya si [Entity_C]. Mas kampante pa ko dun,DUTERTE,SANTIAGO,POE,,Positive,Positive,Positive,Positive
169,Witness: Bidding for Makati projects under [Entity_A] a sham |,ELENITA BINAY,,,,Negative,Negative,Negative,Negative
170,baka si [Entity_A] yung ex mo ??,BINAY,,,,Negative,Negative,Negative,Negative
171,"[Entity_A]: ""I am a man of proven accountability and transparency."" Me: *insert Y DA FUK U LYIN, Y U ALWAYS LYIN meme*",BINAY,,,,Negative,Negative,Negative,Negative
172,"*Sandro and Baste are fighting * Sandro: ""If you can't handle me at my [Entity_A], then you don't deserve me at my [Entity_A].""",BINAY,MIRIAM,,,Neutral,Neutral,Neutral,Neutral
173,"will not only aim for billions but eventually he will claim r country us ""Pili[Entity_A]""",BINAY,,,,Negative,Negative,Negative,Negative
174,"In the beginning, only [Entity_A]. But the other cases? One never knows. As [Entity_B]'s VP, may proteksyon siya.",BINAY,MAR ROXAS,,,Neutral,Neutral,Neutral,Neutral
175,"Not directly. Seems in Positive0Neutral4, [Entity_A] used the same remittance agency involved in current money laundering scandal.",BINAY,,,,Negative,Negative,Negative,Negative
176,"Wow, nagtype ako ng assignment jerney lyne ha??? tatanga tanga ka lagi!!! Bobo ka like [Entity_A] HAHAHAHA Bwiset damnnnnnn",MAR ROXAS,,,,Negative,Negative,Negative,Negative
177,"Political ad on respect not a response to [Entity_A]'s rape remark, [Entity_B] clarifies",DUTERTE,POE,,,Neutral,Neutral,Neutral,Neutral
178,"Partial UNOFFICIAL count: [Entity_A] NeutralPositive7K, [Entity_B] 9NegativeK, [Entity_C] 78K, [Entity_D] 54K, Santiago Neutral5k",DUTERTE,ROXAS,POE,BINAY,Neutral,Neutral,Neutral,Neutral
179,"Puro pangako, napapako naman: [Entity_A] hits [Entity_B]'s leadership anew",BINAY,PNOY,,,Negative,Negative,Negative,Negative
180,Kung manalo man si [Entity_A] Sana unang patayin nya e yung nagdrudrugs na lumaban pa ng konsehal na kilalang kilala ko. Neutral00% manyak??,DUTERTE,,,,Positive,Negative,Negative,Negative
181,"""Only [Entity_A] touches my skin""dafuq?????",BINAY,,,,Negative,Negative,Negative,Negative
182,Sanib pwersa naaa! [Entity_A]/[Entity_B]/[Entity_C] vs [Entity_D]. [Entity_D] till the end!,BINAY,ROXAS,POE,DUTERTE,Positive,Positive,Positive,Positive
183,"[Entity_A]: We feel we're in a good place. We have a track record in every town, in every place in the country. |",MAR ROXAS,,,,Positive,Positive,Neutral,Positive
184,AMLC finds billions of pesos in '[Entity_A] dummy' accounts,BINAY,,,,Neutral,Neutral,Neutral,Neutral
185,"my photo is not as clear as but I definitely read ""[Entity_A]""",BINAY,,,,Neutral,Neutral,Neutral,Neutral
186,"grabe, lage nalang napagttripan si [Entity_A]..??",BINAY,,,,Positive,Negative,Negative,Negative
187,"DESPERADO NA SINA [Entity_A], [Entity_B] AT ANG KINGINANG ABS-CBN WAHAHAHA",MAR ROXAS,TRILLANES,,,Negative,Negative,Negative,Negative
188,Cara Kendall On PH Positive0Neutral6 Only [Entity_A] Ateneo,BINAY,,,,Neutral,Neutral,Neutral,Neutral
189,RT 6 Reasons Why [Entity_A] could Win the Positive0Neutral6 Presidential Election,BINAY,,,,Neutral,Neutral,Neutral,Neutral
190,khit ganun p man No.Neutral fan prn aq ng KathNiel nding ndi mwwla un.peru sori to [Entity_A].,MAR ROXAS,,,,Negative,Negative,Negative,Negative
191,"Maka hugot ka, ha. Lagot ka kay [Entity_A]. ??",MAR ROXAS,,,,Neutral,Neutral,Neutral,Neutral
